away,home,away_ago_win,away_ago_lose,home_ago_win,home_ago_lose,score_away,score_home,result
185,12,36,38,52,21,106,100,0
28,82,13,18,27,9,89,101,1
175,84,13,19,21,8,109,119,1
163,191,22,17,25,11,110,122,1
188,139,22,15,15,20,110,92,0
127,64,7,2,4,6,118,110,0
84,91,20,8,12,18,112,110,0
95,46,27,48,48,27,116,117,1
102,74,2,1,1,2,101,111,1
19,178,32,31,33,31,102,96,0
7,96,2,3,1,3,107,102,0
94,59,24,30,8,47,124,115,0
190,120,0,0,0,0,86,100,1
113,134,19,21,14,28,112,97,0
170,184,26,47,50,24,111,115,1
62,55,19,35,29,24,99,78,0
12,5,0,0,0,0,95,97,1
113,176,33,32,41,27,123,122,0
150,171,0,0,0,0,111,104,0
117,131,5,4,7,3,115,108,0
17,99,16,23,19,19,104,98,0
42,182,12,9,10,11,89,101,1
145,82,19,30,36,14,79,97,1
32,100,1,1,1,1,97,108,1
49,175,8,1,6,6,111,114,1
187,131,8,13,15,6,85,94,1
128,205,20,6,17,9,129,119,0
32,72,14,15,21,7,107,77,0
142,114,41,9,11,41,94,91,0
195,8,7,25,13,17,89,84,0
135,205,14,26,25,16,69,89,1
85,10,11,3,4,10,95,84,0
195,160,13,39,25,26,75,92,1
103,117,0,1,1,0,89,106,1
160,83,23,22,33,11,95,99,1
12,26,34,12,25,22,111,106,0
3,17,6,7,6,8,99,79,0
141,92,19,13,10,20,94,81,0
83,22,1,1,1,1,75,94,1
146,22,26,18,25,18,89,102,1
155,64,15,25,20,18,112,106,0
60,123,26,44,40,30,97,122,1
140,112,32,23,20,32,100,99,0
118,104,32,10,24,19,103,90,0
99,183,25,26,35,17,112,113,1
194,152,21,15,25,11,97,101,1
73,136,35,28,29,33,91,84,0
147,189,2,3,3,2,105,118,1
97,41,0,4,2,3,92,100,1
187,117,1,0,0,1,102,111,1
173,180,37,16,25,29,106,102,0
40,138,40,14,26,29,115,93,0
90,132,36,26,33,30,107,117,1
184,142,0,1,1,0,98,99,1
146,174,17,8,17,11,92,96,1
122,171,54,25,31,48,112,114,1
189,147,0,0,0,0,92,101,1
155,190,11,13,10,13,96,92,0
204,190,10,1,7,5,102,86,0
127,120,24,7,25,5,98,94,0
170,184,9,5,11,3,89,102,1
156,51,13,34,9,38,80,92,1
21,131,9,7,14,5,88,110,1
207,6,18,4,11,10,91,95,1
147,133,23,6,15,15,116,114,0
128,114,41,19,13,47,113,121,1
61,187,10,19,13,17,85,96,1
171,73,4,7,8,5,97,103,1
66,87,3,2,2,3,91,103,1
37,114,26,38,14,51,122,106,0
55,1,0,1,1,0,109,92,0
27,6,15,16,14,16,85,90,1
71,134,26,35,22,41,112,110,0
71,24,0,0,0,0,101,93,0
36,71,15,22,20,18,127,110,0
37,205,5,7,8,4,87,99,1
150,199,43,25,25,43,105,109,1
31,50,0,0,0,0,83,90,1
118,181,22,6,16,13,95,96,1
107,44,19,30,17,30,100,104,1
98,56,11,32,18,26,84,92,1
22,55,6,2,5,2,86,96,1
66,164,32,16,14,35,104,97,0
114,184,16,55,48,23,110,120,1
153,181,28,17,24,22,104,107,1
201,187,1,2,2,1,86,104,1
169,176,25,47,43,30,100,103,1
108,12,29,41,49,20,91,124,1
20,6,34,37,33,38,95,117,1
63,147,4,16,13,6,83,102,1
177,93,31,17,15,34,108,93,0
141,148,3,3,3,3,121,126,1
201,61,43,8,14,38,111,100,0
39,144,9,48,48,9,95,112,1
129,101,18,25,19,20,108,98,0
183,71,23,13,19,17,80,83,1
178,26,14,11,14,9,81,107,1
207,116,53,16,28,41,100,93,0
24,197,1,0,0,0,95,90,0
190,57,38,27,15,50,103,77,0
206,5,14,3,9,5,89,92,1
133,112,42,38,30,50,96,80,0
2,140,35,29,37,29,113,95,0
124,201,12,11,19,3,78,95,1
197,190,15,24,20,19,95,92,0
11,25,37,22,23,34,86,93,1
17,169,2,5,2,5,97,90,0
103,110,29,21,11,38,113,100,0
62,41,4,10,4,8,73,96,1
118,153,2,1,1,2,103,100,0
91,98,12,16,3,23,97,105,1
2,84,43,36,63,16,93,105,1
191,58,18,4,2,20,120,115,0
26,136,12,6,8,9,119,122,1
185,199,16,15,9,20,108,110,1
147,35,8,3,6,4,76,86,1
142,100,43,10,33,23,114,107,0
127,204,0,0,0,0,92,116,1
206,12,39,7,33,12,103,117,1
2,161,4,3,4,4,112,106,0
24,99,2,1,1,2,95,92,0
166,89,13,41,36,21,111,105,0
155,190,19,38,31,24,103,108,1
183,24,17,9,20,5,81,114,1
85,92,24,8,10,22,110,94,0
134,106,24,55,35,44,94,101,1
205,121,51,26,42,35,113,88,0
0,21,25,13,16,20,99,86,0
65,11,16,5,12,7,101,105,1
10,43,10,18,12,17,100,103,1
163,100,14,14,19,6,104,92,0
129,136,2,2,2,1,108,92,0
56,30,22,28,25,25,92,94,1
58,205,0,9,5,4,75,100,1
17,183,23,35,39,19,110,118,1
165,109,15,30,19,25,120,127,1
137,144,0,1,1,0,104,115,1
109,207,17,23,32,9,104,118,1
55,8,31,30,20,40,103,87,0
83,125,27,7,18,17,107,93,0
14,194,7,15,13,7,74,93,1
203,105,19,7,13,12,106,112,1
148,197,38,20,23,32,123,110,0
9,189,3,10,9,2,78,84,1
178,33,21,15,14,23,95,96,1
164,59,14,31,6,39,103,113,1
34,27,22,30,29,24,116,100,0
43,148,13,22,24,13,105,111,1
22,8,35,22,19,36,104,98,0
169,3,23,42,36,29,87,94,1
41,55,20,17,22,17,71,103,1
0,124,34,15,27,24,103,109,1
175,2,7,8,6,7,78,101,1
193,116,30,22,19,31,107,99,0
87,52,32,26,25,35,98,81,0
170,72,21,40,49,13,105,130,1
150,115,46,27,25,49,99,79,0
193,207,0,0,0,0,82,111,1
97,188,10,33,24,18,92,97,1
141,155,48,30,25,53,112,95,0
139,188,20,31,29,22,94,98,1
44,198,24,35,33,28,104,98,0
202,153,43,16,39,22,112,91,0
146,153,9,5,10,8,91,96,1
195,118,7,23,24,7,93,101,1
4,11,2,2,2,2,101,106,1
13,67,3,0,0,3,109,102,0
29,41,14,20,16,17,96,102,1
0,14,54,20,26,48,101,96,0
46,13,19,13,23,7,118,124,1
89,96,11,4,5,9,100,99,0
186,53,2,2,1,2,118,99,0
84,2,37,14,31,22,86,67,0
84,42,51,14,36,29,105,103,0
121,25,43,36,36,43,104,116,1
107,93,26,44,22,49,119,100,0
118,90,28,7,23,13,105,102,0
36,162,2,5,5,3,100,98,0
150,164,53,28,22,59,105,114,1
35,70,36,26,34,27,93,80,0
103,21,4,3,2,3,113,144,1
45,185,5,4,4,6,111,95,0
174,111,1,3,0,3,82,99,1
21,40,29,38,47,18,80,92,1
147,2,14,6,11,8,94,89,0
183,92,41,19,19,43,101,89,0
2,91,16,13,12,19,96,94,0
182,133,24,22,24,20,125,80,0
56,42,11,8,10,9,79,92,1
178,185,25,20,23,22,104,115,1
113,127,21,21,32,11,104,115,1
164,171,20,51,27,44,94,116,1
17,204,23,34,40,16,110,120,1
99,71,25,28,25,27,114,97,0
21,28,23,28,20,32,103,97,0
155,57,17,32,15,35,112,98,0
150,73,29,16,27,19,85,83,0
140,203,0,0,0,0,127,129,1
64,204,11,14,21,6,99,112,1
53,27,17,19,19,18,109,123,1
69,29,12,5,6,9,97,92,0
98,175,0,6,4,4,101,107,1
86,11,34,40,48,27,88,114,1
179,165,11,27,12,26,113,108,0
154,56,10,14,12,11,111,98,0
39,6,8,22,15,16,99,101,1
93,86,12,21,14,17,102,101,0
194,14,16,10,8,19,108,111,1
9,63,12,32,16,27,99,98,0
180,201,0,4,3,1,121,124,1
26,38,38,33,20,51,110,120,1
117,180,25,13,17,21,118,112,0
8,104,13,23,22,17,100,99,0
34,95,20,21,17,27,96,112,1
12,66,2,0,0,2,84,99,1
177,51,17,8,5,21,107,87,0
0,180,5,3,3,6,95,92,0
116,39,1,4,2,4,110,119,1
205,4,27,16,27,16,81,104,1
116,186,31,50,54,27,118,123,1
196,168,27,51,27,50,110,121,1
94,33,32,43,31,44,110,113,1
134,120,23,50,53,19,96,116,1
59,192,0,17,9,8,84,92,1
163,51,13,14,5,23,99,90,0
110,187,1,1,1,1,89,109,1
199,12,18,31,35,14,84,99,1
161,2,12,26,20,14,97,81,0
84,126,23,10,19,15,90,92,1
159,89,6,5,7,3,89,105,1
140,182,37,30,36,30,108,78,0
197,120,32,46,57,21,94,116,1
82,131,14,8,16,6,111,98,0
88,67,38,40,48,31,94,96,1
19,185,22,19,22,21,123,114,0
122,129,54,24,42,37,115,120,1
33,108,4,4,3,4,102,103,1
96,21,21,56,35,43,112,136,1
129,66,33,29,40,19,115,117,1
98,30,14,35,25,24,102,90,0
49,154,20,7,13,14,94,100,1
93,128,13,26,28,8,92,103,1
156,177,3,9,9,3,106,140,1
145,194,21,36,33,25,87,98,1
132,125,27,26,25,28,102,97,0
7,89,8,38,30,17,87,103,1
105,30,55,25,37,43,112,111,0
121,58,5,13,1,17,103,91,0
150,122,47,27,52,23,117,119,1
104,188,17,13,16,14,102,103,1
141,50,35,23,21,37,126,103,0
157,206,11,41,42,8,102,106,1
165,200,16,35,19,32,106,111,1
11,156,19,20,12,27,109,102,0
121,156,12,14,8,17,104,103,0
93,72,19,40,45,12,88,95,1
166,103,21,52,44,29,90,104,1
28,117,34,47,55,26,110,106,0
3,99,18,19,18,19,93,96,1
180,152,22,27,33,15,106,114,1
42,196,36,30,22,46,86,87,1
17,99,14,17,12,14,82,106,1
27,39,1,0,0,1,94,103,1
100,65,4,1,4,1,84,103,1
31,36,6,22,9,19,93,104,1
106,183,4,4,6,4,111,122,1
200,20,19,30,21,27,98,118,1
63,196,9,20,6,22,104,97,0
43,113,4,6,6,4,88,106,1
105,182,1,3,2,1,93,87,0
32,93,4,4,3,6,85,101,1
92,106,10,26,18,17,94,120,1
128,177,51,30,49,32,98,114,1
165,144,3,7,7,2,120,133,1
194,201,2,0,1,0,99,90,0
70,98,14,7,3,18,100,95,0
108,199,5,5,1,9,115,98,0
101,122,21,24,36,13,98,114,1
207,179,14,4,3,13,94,87,0
145,159,3,13,7,8,108,116,1
164,206,12,21,27,6,79,112,1
110,180,1,5,0,5,94,120,1
34,60,40,39,28,51,90,82,0
155,204,22,43,48,16,85,119,1
193,137,4,5,7,4,102,96,0
102,53,22,19,19,24,113,110,0
0,47,60,20,42,38,103,90,0
66,108,32,15,18,30,93,112,1
98,147,8,29,31,9,87,94,1
100,32,35,27,32,29,85,91,1
15,29,4,17,8,11,82,103,1
58,51,0,12,3,10,83,91,1
35,98,17,15,4,26,115,113,0
202,118,6,2,7,2,96,108,1
149,205,2,3,3,2,102,96,0
127,17,20,4,11,13,111,109,0
15,22,0,0,0,0,79,91,1
203,168,42,12,19,35,108,102,0
62,83,8,16,17,6,89,95,1
31,17,14,59,26,47,111,116,1
159,201,37,38,57,19,97,114,1
6,109,9,5,5,8,107,110,1
52,5,15,18,18,12,81,108,1
16,84,16,26,27,12,88,110,1
68,54,40,31,36,34,100,105,1
56,49,22,31,32,20,93,99,1
119,84,21,5,18,6,97,103,1
128,44,9,3,4,7,94,88,0
86,93,24,31,19,39,93,90,0
172,130,4,6,5,4,120,122,1
89,68,1,2,2,1,85,88,1
86,72,33,38,54,17,86,99,1
71,31,37,44,15,66,111,103,0
172,109,25,37,28,34,96,108,1
197,10,18,25,16,28,100,89,0
156,107,9,22,13,18,111,103,0
123,46,17,12,17,12,117,112,0
196,182,3,2,3,4,96,100,1
33,52,15,23,18,20,88,100,1
88,151,11,27,25,14,86,98,1
27,53,15,14,14,13,111,118,1
17,36,4,8,3,9,109,97,0
195,29,5,23,12,16,92,89,0
97,69,10,32,24,19,88,102,1
19,52,31,30,25,38,89,102,1
94,143,27,34,55,6,113,119,1
176,17,33,23,23,32,113,102,0
19,129,4,1,4,2,120,103,0
9,84,3,9,9,3,108,110,1
59,122,0,8,5,3,85,102,1
135,11,14,27,22,20,92,106,1
162,155,44,29,24,48,99,115,1
173,117,2,1,1,2,112,105,0
193,102,25,18,21,19,101,104,1
143,122,2,3,3,2,108,101,0
5,94,30,29,26,33,89,102,1
114,107,5,22,12,17,102,106,1
141,71,21,13,18,14,101,100,0
204,169,51,16,24,44,99,79,0
122,59,46,22,9,59,111,97,0
96,0,2,5,4,3,96,103,1
112,98,17,22,9,31,101,114,1
65,37,45,30,34,40,109,114,1
196,84,5,13,12,5,90,106,1
196,105,15,31,29,18,98,113,1
94,108,11,9,8,13,85,74,0
138,173,8,12,16,4,100,105,1
39,60,18,59,28,49,141,118,0
73,178,13,9,13,9,98,95,0
156,205,12,31,27,17,85,99,1
36,85,1,3,3,1,94,96,1
74,109,14,15,12,17,109,108,0
182,9,19,14,8,26,112,104,0
126,35,6,6,7,4,85,98,1
118,97,12,2,1,12,102,105,1
190,169,23,20,15,29,99,89,0
65,163,24,9,19,16,109,125,1
175,140,19,26,28,17,97,100,1
135,198,6,18,11,12,111,119,1
38,87,21,51,42,30,99,110,1
144,109,6,2,3,4,125,101,0
25,114,8,19,5,20,100,96,0
67,39,27,13,8,32,119,109,0
103,187,31,23,29,26,108,116,1
115,12,14,31,30,12,107,114,1
171,26,11,17,16,11,108,106,0
92,36,23,56,43,36,88,97,1
187,152,2,1,3,0,105,124,1
72,100,1,1,1,1,101,103,1
118,174,5,0,1,4,87,100,1
38,101,21,56,37,40,103,121,1
122,115,26,12,12,26,101,96,0
38,19,10,26,20,16,89,103,1
172,186,9,15,18,7,98,132,1
177,121,36,19,28,25,89,104,1
139,167,8,12,7,15,106,114,1
53,95,24,36,22,38,101,90,0
126,168,13,12,8,18,96,108,1
43,3,23,50,41,32,80,94,1
164,206,7,6,10,3,84,98,1
154,189,6,6,8,2,98,106,1
161,126,17,36,25,28,102,98,0
196,175,7,25,13,20,99,96,0
166,82,13,40,41,15,97,117,1
56,140,14,15,19,10,89,96,1
124,173,12,13,19,5,98,103,1
197,127,11,13,22,5,107,110,1
135,198,18,33,27,24,100,96,0
136,101,26,26,23,28,89,103,1
140,133,18,10,15,14,94,83,0
137,158,12,9,10,12,107,101,0
178,122,9,4,7,6,114,117,1
154,140,12,14,18,9,118,115,0
41,1,30,23,42,13,86,93,1
74,144,10,7,15,2,100,105,1
84,168,23,11,13,23,128,99,0
144,95,37,6,18,27,118,98,0
84,140,24,12,23,13,92,75,0
55,62,30,27,20,38,93,75,0
36,127,26,28,39,18,80,124,1
47,54,25,23,22,26,98,100,1
197,169,11,14,8,18,113,100,0
16,23,22,34,33,21,82,114,1
22,8,17,11,10,16,87,98,1
194,173,46,35,56,25,89,121,1
23,63,36,22,23,35,93,81,0
146,188,34,22,32,23,85,94,1
197,71,27,40,31,35,111,105,0
19,12,0,1,1,0,90,107,1
20,116,12,12,6,16,117,90,0
174,118,22,16,29,8,91,95,1
173,14,26,13,14,26,89,103,1
161,147,7,13,12,6,99,117,1
113,31,14,15,6,23,117,95,0
85,204,43,15,44,16,87,111,1
35,133,42,30,37,36,107,116,1
18,100,23,35,33,26,95,99,1
150,136,17,13,12,15,109,104,0
71,64,31,36,38,30,86,96,1
36,17,22,25,19,29,95,111,1
130,116,14,21,11,22,95,89,0
85,24,0,0,0,0,96,107,1
64,197,37,29,27,39,107,100,0
120,106,27,8,17,17,88,101,1
88,67,2,2,3,1,87,96,1
168,161,7,16,9,15,90,101,1
23,133,26,17,23,20,110,114,1
168,126,9,18,13,13,91,109,1
202,181,2,0,0,1,85,105,1
204,85,1,1,1,1,111,92,0
118,69,29,7,21,15,90,97,1
62,90,1,2,3,1,96,102,1
14,54,29,52,41,40,104,100,0
86,121,32,36,39,30,75,93,1
98,84,4,27,22,9,71,99,1
156,86,16,43,26,33,94,100,1
71,57,23,21,15,31,125,99,0
60,116,2,9,3,7,86,110,1
174,111,15,11,13,13,104,97,0
61,89,13,29,27,15,72,112,1
185,129,28,29,30,27,119,105,0
105,126,36,22,26,30,111,109,0
27,116,22,22,17,28,109,103,0
35,2,34,25,33,25,85,96,1
69,29,30,20,22,27,101,108,1
161,112,24,55,29,50,93,105,1
25,121,23,33,31,25,92,105,1
41,69,0,0,0,0,74,83,1
154,182,15,18,20,14,112,125,1
13,123,36,15,30,23,109,118,1
72,86,10,6,9,8,112,102,0
73,59,28,22,7,41,124,86,0
4,149,7,3,5,3,105,89,0
50,17,3,6,3,6,86,92,1
9,2,8,27,18,13,92,118,1
131,0,34,32,46,18,100,118,1
65,25,39,27,30,35,117,98,0
200,88,27,40,32,35,112,120,1
162,99,42,29,36,34,99,93,0
128,191,30,10,28,11,98,102,1
200,144,0,6,4,2,106,116,1
113,204,18,18,28,8,86,104,1
200,130,33,48,41,40,103,100,0
55,15,35,30,24,41,86,108,1
137,193,23,15,23,16,79,88,1
117,103,27,14,23,17,107,112,1
192,73,39,26,36,29,83,95,1
111,181,14,16,17,13,111,98,0
4,93,31,20,16,37,98,97,0
157,150,9,39,30,16,93,105,1
109,172,30,35,25,40,105,92,0
178,143,26,21,41,4,107,127,1
70,23,26,20,29,19,103,114,1
0,40,2,2,4,1,105,110,1
184,142,16,4,18,2,93,105,1
184,191,20,7,21,7,117,111,0
25,128,7,11,14,4,82,88,1
42,140,14,14,20,10,83,101,1
18,205,10,23,21,14,105,104,0
202,15,19,9,8,21,99,95,0
206,87,43,8,29,23,119,101,0
126,56,31,34,25,40,100,101,1
115,45,11,16,14,13,99,113,1
26,12,31,28,41,17,96,100,1
57,162,8,20,17,11,101,115,1
20,53,34,39,27,46,95,109,1
30,154,19,17,16,21,88,104,1
151,95,18,7,11,15,113,108,0
97,15,5,22,8,20,98,77,0
1,90,6,1,5,2,97,83,0
48,83,0,0,0,0,67,100,1
35,56,19,15,15,20,109,89,0
168,147,4,11,9,6,81,116,1
107,198,25,41,36,29,118,111,0
142,184,4,0,6,0,98,87,0
85,99,27,10,17,19,97,114,1
139,160,2,2,1,3,91,102,1
126,105,20,17,23,16,111,115,1
93,86,25,55,35,45,93,100,1
74,88,28,20,19,30,93,116,1
20,60,29,32,23,38,136,106,0
23,30,3,5,4,2,85,99,1
12,178,26,9,22,16,110,107,0
180,110,42,39,17,64,121,102,0
4,86,46,32,35,43,89,78,0
130,20,24,34,28,31,113,120,1
72,11,5,3,4,3,94,127,1
168,9,11,20,7,25,97,94,0
53,207,27,45,55,16,98,106,1
49,133,38,26,34,32,90,83,0
127,10,21,4,9,14,119,116,0
59,101,8,51,28,30,108,116,1
70,154,33,24,29,30,98,99,1
38,94,9,22,18,13,93,100,1
88,13,7,15,15,5,84,114,1
152,187,13,4,7,10,96,98,1
202,125,23,9,17,16,97,137,1
99,176,2,4,4,3,95,105,1
44,93,10,15,10,20,95,100,1
68,124,35,23,33,25,90,83,0
204,190,26,8,15,18,110,108,0
90,48,8,3,6,6,102,93,0
160,41,5,9,5,8,79,71,0
61,138,20,51,30,42,100,138,1
93,51,2,6,2,6,97,95,0
116,144,5,10,14,2,102,115,1
35,196,33,24,20,37,101,97,0
206,122,1,1,1,1,100,96,0
5,66,32,32,44,20,109,107,0
127,148,36,16,36,18,117,122,1
145,68,19,29,31,18,100,101,1
181,111,9,7,7,9,107,92,0
187,110,31,27,13,44,104,95,0
190,141,6,5,8,3,88,81,0
104,125,2,0,2,0,102,111,1
133,168,7,6,3,9,97,108,1
178,199,20,15,11,22,100,91,0
0,82,42,18,43,19,87,86,0
112,154,20,34,28,30,94,116,1
201,187,49,10,33,28,93,109,1
67,109,7,4,4,7,113,111,0
12,143,3,3,3,3,93,89,0
45,33,2,3,4,3,99,83,0
39,186,6,16,17,7,118,122,1
131,166,30,22,12,35,107,104,0
203,119,19,6,19,4,93,107,1
206,66,18,4,13,9,94,97,1
47,61,0,0,0,0,98,93,0
56,175,12,12,11,13,100,107,1
204,85,2,1,1,2,107,86,0
65,177,37,19,38,20,92,99,1
123,193,44,33,42,36,103,100,0
145,0,6,21,16,8,100,99,0
6,200,37,39,33,43,117,110,0
167,174,4,8,7,5,60,99,1
141,190,4,2,2,3,90,108,1
66,59,23,15,4,34,108,95,0
180,187,20,23,19,23,110,115,1
120,204,21,4,21,5,113,100,0
172,158,23,32,19,37,97,96,0
56,84,23,37,45,14,93,102,1
158,172,10,16,8,15,92,116,1
15,29,2,8,3,6,93,102,1
169,113,13,23,18,19,111,108,0
11,93,17,11,11,20,98,89,0
69,22,22,15,23,13,101,96,0
133,91,14,14,12,14,97,93,0
141,36,24,13,13,21,98,102,1
33,157,10,15,3,21,95,113,1
83,8,23,7,11,16,111,87,0
184,4,23,10,24,10,105,114,1
159,173,38,41,54,25,90,115,1
180,124,30,31,33,26,103,87,0
10,36,11,21,11,21,82,89,1
38,73,11,29,23,17,86,114,1
144,130,2,1,2,1,127,104,0
204,24,57,16,52,22,103,77,0
134,106,5,19,13,8,103,93,0
158,186,20,47,46,21,100,139,1
185,206,16,18,28,6,103,121,1
108,59,7,13,1,19,108,105,0
203,168,4,1,2,3,97,86,0
5,12,24,18,30,11,96,83,0
166,145,4,14,4,17,91,98,1
84,16,20,6,9,22,99,109,1
141,134,28,19,16,29,95,90,0
139,69,13,18,20,14,85,82,0
24,190,51,18,40,28,71,82,1
44,65,34,42,45,31,117,116,0
73,66,36,28,42,20,96,104,1
17,64,25,39,35,27,87,101,1
193,179,6,5,2,8,80,64,0
54,82,37,34,49,22,99,111,1
47,40,0,1,1,0,93,96,1
52,192,20,21,22,19,95,103,1
201,110,12,1,4,11,113,109,0
25,51,27,34,12,48,92,86,0
150,178,40,21,33,30,109,90,0
26,73,26,23,29,22,96,102,1
106,120,32,38,51,18,96,117,1
162,169,47,34,28,53,104,99,0
73,94,16,12,15,11,103,100,0
26,12,3,3,5,1,97,101,1
204,85,33,10,31,12,101,113,1
46,67,37,20,33,24,97,107,1
50,36,3,13,5,13,113,83,0
57,155,8,21,13,17,111,104,0
43,57,25,55,17,63,108,113,1
34,95,6,8,6,10,104,96,0
112,35,1,1,1,0,107,96,0
192,122,19,17,24,11,94,112,1
86,51,8,7,4,13,86,79,0
26,101,8,5,6,4,123,106,0
204,183,33,11,29,17,90,97,1
35,161,40,29,23,47,102,100,0
16,112,25,51,28,47,101,107,1
161,140,16,31,29,17,93,113,1
117,173,23,13,26,8,99,95,0
49,42,2,0,0,2,90,76,0
59,38,1,21,6,15,91,100,1
42,63,41,39,33,48,90,114,1
107,32,20,33,30,23,81,89,1
194,21,16,11,12,14,93,94,1
156,184,2,9,9,2,98,92,0
125,202,28,36,47,16,89,124,1
58,51,18,59,14,62,91,101,1
100,177,22,8,22,10,87,114,1
110,21,13,39,22,28,105,116,1
166,187,23,55,44,34,96,101,1
37,149,18,24,28,14,84,123,1
169,71,7,16,13,12,107,124,1
19,38,8,8,3,13,83,87,1
41,83,0,0,0,0,79,93,1
113,204,11,11,17,4,110,117,1
175,203,30,33,49,16,91,92,1
110,166,1,7,3,3,98,89,0
42,203,12,10,18,6,88,103,1
145,173,31,48,53,25,96,107,1
183,134,2,0,0,2,104,93,0
103,110,17,13,8,24,119,113,0
0,61,38,16,15,42,113,118,1
124,201,42,31,57,16,100,92,0
116,130,31,46,38,40,98,105,1
199,94,10,20,17,13,89,104,1
162,85,7,6,10,3,92,107,1
101,19,38,40,42,37,99,112,1
88,172,10,26,15,19,107,102,0
140,189,30,19,30,18,93,99,1
66,45,48,21,41,30,79,91,1
25,37,32,41,32,40,106,111,1
184,58,3,0,0,3,104,93,0
25,170,7,12,9,9,101,102,1
172,193,9,16,18,9,96,92,0
39,193,10,51,36,27,122,109,0
72,44,43,10,19,31,88,89,1
184,156,0,0,0,0,108,90,0
107,65,9,11,15,5,107,112,1
68,54,1,0,0,1,104,101,0
20,179,13,13,6,18,95,85,0
9,175,22,42,30,34,86,96,1
28,96,20,30,13,37,85,100,1
63,91,15,27,14,27,97,95,0
6,158,8,5,7,6,118,110,0
129,150,37,35,43,27,94,96,1
154,168,37,36,27,46,103,98,0
128,114,17,4,4,16,82,90,1
17,24,11,14,20,3,101,96,0
182,70,1,0,0,0,109,102,0
14,68,25,44,39,30,96,104,1
143,12,3,2,2,3,101,115,1
92,31,19,45,12,50,98,105,1
95,60,7,12,4,14,105,88,0
124,103,16,15,16,13,77,95,1
190,120,2,2,2,2,100,99,0
121,163,41,32,38,35,109,97,0
172,60,19,28,17,29,119,122,1
71,43,17,14,13,17,92,91,0
28,47,22,34,28,26,108,114,1
58,128,4,23,23,7,93,114,1
138,187,32,43,41,33,91,110,1
74,179,20,16,11,25,97,82,0
18,135,23,42,28,36,85,88,1
4,191,16,9,21,4,103,97,0
74,20,24,17,19,24,95,118,1
6,46,1,0,0,1,111,97,0
16,42,25,50,38,36,93,98,1
21,82,5,6,8,5,93,77,0
95,102,23,39,36,24,114,115,1
48,41,18,18,18,17,111,115,1
51,128,5,27,24,7,79,101,1
7,194,5,5,9,1,101,108,1
68,28,19,13,12,16,95,80,0
158,130,16,32,19,27,98,105,1
41,55,25,21,26,21,86,99,1
44,18,35,42,30,47,113,103,0
183,190,29,16,21,20,81,99,1
173,117,1,1,1,1,93,87,0
152,166,4,0,3,1,112,100,0
192,143,2,1,3,0,69,119,1
115,150,14,36,32,16,108,102,0
29,69,14,21,20,15,94,99,1
191,135,53,25,36,42,89,88,0
10,92,30,45,21,53,119,98,0
29,139,19,24,18,22,120,98,0
93,149,7,13,12,5,86,114,1
201,96,44,9,14,37,118,94,0
99,24,1,0,0,1,82,86,1
106,190,33,42,44,31,92,100,1
192,38,30,22,14,39,109,90,0
100,58,33,25,12,45,81,89,1
39,53,12,54,27,41,121,110,0
114,135,15,54,31,38,106,104,0
66,101,22,15,15,18,97,88,0
197,134,32,43,23,52,96,100,1
111,153,18,17,20,14,85,104,1
154,168,6,5,2,8,97,113,1
144,179,56,14,30,39,112,87,0
87,136,22,14,15,20,83,98,1
