队名,队员号,出场次数,首发次数,上场时间,投篮命中率,投篮命中次数,投篮出手次数,三分命中率,三分命中次数,三分出手次数,罚球命中率,罚球命中次数,罚球出手次数,篮板总数,前场篮板,后场篮板,助攻,抢断,盖帽,失误,犯规,得分
0,12,6,0,4.3,54.50%,1,1.8,57.10%,0.7,1.2,,0,0,0.2,0,0.2,0,0,0,0.3,0.5,2.7
0,13,18,0,4.9,52.60%,0.6,1.1,0.00%,0,0.3,,0,0,0.4,0.1,0.4,0.3,0.2,0.2,0.3,1,1.1
0,14,2,0,5,33.30%,0.5,1.5,0.00%,0,0.5,0.00%,0,1,0,0,0,0.5,0,0,0,0,1
1,0,39,39,35.3,43.50%,7.7,17.8,31.20%,1.4,4.4,81.20%,5,6.1,3.4,0.7,2.7,7.9,0.9,0.7,3.1,1.3,21.8
1,1,54,54,39.4,41.20%,5.8,14,36.70%,1.5,4,77.00%,2.4,3.1,6.5,1.4,5.1,2.9,1,0.7,1.8,1.5,15.3
1,2,66,66,29.5,53.20%,6.8,12.8,0.00%,0,0,69.30%,1.4,2.1,8.5,1.7,6.8,1.9,1,0.4,1.7,2.5,15
1,3,28,28,24.9,45.20%,5,11.1,37.00%,0.6,1.6,78.40%,1,1.3,2.4,0.7,1.6,3,0.4,0,1.8,2,11.6
1,4,64,64,30.4,50.80%,3.9,7.7,0.00%,0,0,74.80%,2.4,3.2,9.8,3.8,6,2.5,0.6,1.4,1.4,2.5,10.2
1,5,49,25,23.7,36.80%,3.3,8.9,39.30%,1.4,3.5,80.80%,1.7,2.1,2.1,0.4,1.7,4.1,0.9,0.2,2,2.1,9.7
1,6,65,7,22.6,43.20%,2.7,6.3,43.50%,1.8,4.2,83.30%,0.8,1,2.4,0.4,2,1.7,0.6,0.2,0.8,1.7,8.1
1,7,63,0,20.4,49.50%,3.2,6.4,,0,0,62.20%,1.3,2.1,5.3,2.1,3.1,0.7,0.4,1.3,1,2.1,7.7
1,8,49,2,14.8,39.90%,2.9,7.3,39.30%,1.1,2.9,87.50%,0.6,0.7,1.6,0.4,1.1,2.2,0.4,0,0.9,0.9,7.5
1,9,66,43,24.7,42.70%,2.9,6.7,27.50%,0.3,1,56.00%,0.8,1.5,3.5,1.1,2.4,2.1,1.1,0.3,0.9,1,6.9
1,10,11,0,10.9,40.80%,1.8,4.5,60.00%,0.5,0.9,87.50%,0.6,0.7,0.9,0.2,0.7,2.6,0.4,0.2,1.3,1.8,4.8
1,11,66,2,14.7,50.60%,1.2,2.4,,0,0,45.60%,0.7,1.6,5.3,1.9,3.4,0.5,0.5,1,1,1.8,3.1
1,12,42,0,8.5,40.50%,0.8,1.9,18.20%,0,0.3,76.80%,1,1.3,1.3,0.5,0.8,0.3,0.3,0.1,0.3,0.5,2.6
1,13,28,0,4.4,46.70%,0.5,1.1,14.30%,0,0.3,50.00%,0.1,0.2,0.8,0.3,0.5,0.5,0.2,0.2,0.3,0.3,1.1
2,0,75,75,38.7,42.60%,6.2,14.6,32.20%,1,3.1,81.60%,3.1,3.8,6.3,2.2,4.2,3,1.1,0.4,1.9,1.4,16.5
2,1,79,79,32.3,47.70%,6.9,14.4,0.00%,0,0,73.10%,2.4,3.3,9.8,2.2,7.5,2.3,0.8,0.4,2.2,3,16.2
2,2,82,23,25.5,43.30%,4.9,11.2,40.50%,1.7,4.2,79.90%,1.6,2.1,2.2,0.4,1.9,4.4,1,0.1,1.8,2.5,13.1
2,3,66,64,36.7,48.10%,4.6,9.5,0.00%,0,0.1,75.10%,2.7,3.6,11.1,3.9,7.2,4,1.2,2.1,2.7,2.8,11.9
2,4,50,45,21.8,42.90%,4.1,9.5,30.80%,0.3,1,85.70%,1.3,1.5,1.7,0.3,1.3,2.4,0.5,0.1,1.7,1.9,9.8
2,5,73,27,25.8,39.50%,3.3,8.4,35.70%,1.1,3,83.90%,1.9,2.3,1.9,0.2,1.7,2,0.6,0.1,1.1,1.9,9.6
2,6,82,20,26,46.70%,2.9,6.2,38.10%,0.5,1.3,80.30%,2.3,2.8,4,1.7,2.3,1.4,1,0.4,0.8,1.2,8.6
2,7,65,5,22.5,48.50%,3.3,6.8,0.00%,0,0.1,67.90%,1.4,2,5.3,1.9,3.4,0.9,0.4,1.4,1.2,2.6,8
2,8,60,60,29.4,37.70%,2.7,7,39.00%,1.2,3,71.40%,1.2,1.6,2.6,0.3,2.4,5.2,1.1,0.4,1.7,3.2,7.7
2,9,63,12,11,36.70%,1,2.9,0.00%,0,0,72.30%,0.5,0.7,3.1,1.2,1.9,0.4,0.3,0.5,0.4,1.5,2.6
2,10,33,0,8.3,27.80%,0.9,3.3,24.60%,0.5,1.8,77.80%,0.2,0.3,1.3,0.1,1.2,0.3,0.1,0.2,0.3,0.4,2.5
2,11,48,0,8.2,38.10%,0.9,2.4,17.40%,0.1,0.5,56.30%,0.2,0.3,0.9,0.1,0.9,1.3,0.2,0.1,0.7,1,2.1
2,12,7,0,5,55.60%,0.7,1.3,,0,0,50.00%,0.3,0.6,1.6,0.7,0.9,0.3,0.3,0.1,0.3,1,1.7
2,13,25,0,5.6,30.20%,0.5,1.7,18.50%,0.2,1.1,66.70%,0.1,0.1,1.1,0.4,0.7,0.3,0.3,0.2,0.3,1.2,1.3
2,14,1,0,2,0.00%,0,1,,0,0,,0,0,1,1,0,0,0,0,0,0,0
3,0,23,23,37.5,45.20%,7,15.4,27.40%,0.7,2.7,81.50%,4.4,5.4,6.9,1.7,5.1,3.7,1,0.2,2.6,2.3,19
3,1,10,10,31.1,35.40%,5.8,16.4,34.00%,1.6,4.7,84.40%,2.7,3.2,3.2,0.9,2.3,4.3,0.5,0.1,3.4,1.5,15.9
3,2,61,9,30.5,41.90%,4.8,11.4,41.10%,2.2,5.3,88.20%,3.2,3.6,2.1,0.2,1.8,5,0.9,0,1.9,2.3,14.9
3,3,76,76,28.2,45.60%,5.9,12.9,0.00%,0,0,76.70%,1.9,2.5,8.3,1.8,6.5,1.6,0.7,0.3,2,2.8,13.7
3,4,67,67,38.7,39.70%,4.1,10.3,28.30%,1,3.6,76.90%,3.9,5,4.9,1.3,3.6,2.6,1.9,0.5,1.5,1.6,13.1
3,5,82,8,28.7,47.90%,5.2,10.9,0.00%,0,0.1,75.10%,2.6,3.4,6.8,2.4,4.4,1.1,0.5,1.4,1.8,2.5,13
3,6,80,80,35.2,47.50%,4.8,10,0.00%,0,0,73.70%,3.1,4.2,11.3,3.5,7.7,5.4,1.2,1.5,2.4,3.1,12.6
3,7,82,61,31.5,43.00%,4.1,9.4,38.00%,1.5,4,85.40%,1.7,2,4.2,0.6,3.6,2.3,0.8,0.6,1.3,2,11.3
3,8,73,61,29,39.30%,3.3,8.5,35.10%,1.2,3.3,76.00%,1.3,1.7,2.6,0.4,2.2,3.9,1.1,0.4,1.6,2.8,9.1
3,9,77,12,16,38.40%,1.7,4.4,32.00%,0.7,2.3,75.60%,0.4,0.5,1.6,0.2,1.4,0.9,0.4,0.2,0.6,1.1,4.5
3,10,8,0,7,44.80%,1.6,3.6,36.40%,0.5,1.4,100.00%,0.3,0.3,0.9,0.1,0.8,0.4,0,0,0.5,0.9,4
3,11,6,0,8,62.50%,0.8,1.3,60.00%,0.5,0.8,50.00%,0.3,0.7,0.8,0.2,0.7,0.3,0.2,0,0.2,0.5,2.5
3,12,19,2,12.6,24.20%,0.8,3.5,20.00%,0.1,0.5,68.80%,0.6,0.8,1,0.1,0.9,1.5,0.1,0.2,0.9,1.3,2.4
3,13,80,1,7,42.90%,0.7,1.6,,0,0,53.30%,0.2,0.4,2.2,0.8,1.4,0.3,0.2,0.4,0.5,1,1.6
3,14,11,0,7,23.80%,0.5,1.9,20.00%,0.1,0.5,0.00%,0,0.2,0.6,0,0.6,1.5,0.2,0,0.5,1,1
3,15,9,0,1.9,50.00%,0.2,0.4,,0,0,,0,0,0.2,0,0.2,0.2,0.1,0,0.1,0.2,0.4
3,16,24,0,2.5,23.10%,0.1,0.5,0.00%,0,0.1,,0,0,0.3,0.1,0.3,0.1,0,0.2,0.1,0.3,0.3
3,17,1,0,2,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0
3,18,1,0,1,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,19,1,0,2,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0
4,0,65,65,38.7,46.20%,6.5,14,37.80%,1.1,3,83.40%,5.9,7.1,5.8,1.8,4.1,3.3,1.8,0.6,1.4,1.7,20
4,1,78,78,34.4,49.40%,7.3,14.8,46.20%,0.2,0.3,80.30%,3.8,4.7,11.8,2.8,9,2.7,0.3,1.9,2,1.9,18.5
4,2,51,51,30,40.50%,6.6,16.4,28.00%,1.5,5.3,81.30%,3,3.7,3.2,0.7,2.5,4.9,0.7,0.3,3.2,1.2,17.7
4,3,82,21,23,42.10%,4.2,10,38.70%,1.5,3.8,83.30%,1.8,2.1,2,0.4,1.6,3.2,0.7,0.2,1.9,2.3,11.6
4,4,62,17,27.3,50.20%,4.1,8.2,,0,0,71.70%,2.1,3,6.4,2.6,3.8,1.1,0.6,1.2,1.2,2.6,10.3
4,5,82,3,20.2,40.50%,3.1,7.6,31.60%,1.2,3.8,80.30%,2.8,3.5,4.9,0.8,4.2,1.2,0.7,0.7,1.1,2.1,10.2
4,6,63,63,29.2,43.50%,3.3,7.6,40.70%,1.7,4.2,80.50%,1.1,1.4,3.9,0.4,3.5,1.8,0.6,0.3,1,2,9.4
4,7,67,67,30.6,44.50%,2.8,6.4,0.00%,0,0,60.30%,1.6,2.6,9.6,3.3,6.4,4.7,0.7,1.1,1.8,3,7.2
4,8,72,22,19.6,42.90%,2.2,5.2,37.10%,1,2.7,80.00%,0.6,0.8,2.4,0.4,2,0.9,0.4,0.2,0.7,1.2,6
4,9,66,22,24.4,37.30%,2.2,5.8,34.50%,0.9,2.5,70.00%,0.5,0.8,1.8,0.3,1.5,2.2,0.7,0.2,1.1,2.2,5.7
4,10,36,0,8.9,40.20%,1.2,3,31.70%,0.4,1.1,66.70%,0.3,0.4,1.2,0.2,1,0.2,0.1,0,0.5,0.8,3
4,11,56,0,8.9,44.60%,1.1,2.5,34.20%,0.2,0.7,60.00%,0.2,0.4,0.8,0.2,0.6,0.6,0.4,0.1,0.3,0.8,2.7
4,12,23,0,5.7,43.30%,0.6,1.3,,0,0,33.30%,0,0.1,1.7,0.5,1.2,0.1,0.2,0.2,0.3,0.7,1.2
4,13,18,1,3.7,21.40%,0.2,0.8,,0,0,80.00%,0.2,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.2,0.4,0.6
5,0,67,67,36.9,45.40%,7,15.4,31.20%,1,3.1,83.20%,5.9,7.1,5.3,1.2,4.2,4.8,1.6,0.6,2,1.9,20.9
5,1,72,72,31.9,46.90%,6.5,13.8,34.80%,0.3,1,79.20%,3.2,4,11,2.2,8.9,4.1,0.6,2,2.3,2.1,16.5
5,2,66,66,31.7,42.70%,6.8,15.9,29.30%,0.7,2.3,79.30%,2.2,2.7,3.4,0.7,2.7,4.7,0.7,0.2,2.7,1.3,16.4
5,3,66,38,25,40.70%,3.8,9.2,39.00%,2,5.2,80.70%,2.2,2.7,5.5,0.9,4.6,1.5,0.9,0.7,1.5,2.3,11.8
5,4,81,4,23,45.20%,3.6,8,42.50%,1.4,3.2,85.70%,0.9,1,2.4,0.5,2,0.7,0.2,0.1,0.7,1.6,9.4
5,5,73,55,26.5,52.60%,3.6,6.8,0.00%,0,0,69.20%,1.4,2,6.9,2.8,4.1,1.5,0.6,1.1,1.1,2.5,8.6
5,6,59,22,21.4,48.10%,3.2,6.6,45.20%,0.8,1.8,62.90%,0.4,0.6,2.3,0.3,1.9,1.7,0.6,0.3,0.9,1.7,7.5
5,7,31,30,22.6,41.00%,2.5,6.1,39.40%,1.3,3.2,78.40%,0.9,1.2,2.7,0.3,2.4,1.3,0.5,0.3,0.8,2.1,7.2
5,8,69,0,16.1,40.10%,2.7,6.8,35.70%,1,2.7,76.60%,0.7,0.9,1.5,0.3,1.2,2.6,0.4,0.1,1.2,1.9,7.1
5,9,62,4,17.8,42.70%,3,7,30.80%,0.3,0.8,72.70%,0.8,1.1,5.4,2,3.5,0.8,0.4,0.4,0.9,1.6,7
5,10,27,4,18.8,41.30%,2.4,5.7,43.30%,1,2.2,81.50%,0.8,1,2.3,0.3,2,1.7,0.7,0.6,1,1.5,6.5
5,11,64,33,20.3,37.20%,2,5.3,36.10%,0.9,2.4,90.90%,0.5,0.5,3.1,0.3,2.8,1,0.3,0.3,0.8,1.6,5.3
5,12,29,2,21.9,38.30%,1.8,4.6,0.00%,0,0,48.90%,0.8,1.6,8.8,3,5.8,3.8,0.6,1,1.8,2.7,4.3
5,13,35,7,15.9,39.80%,1.3,3.4,41.10%,0.7,1.6,93.80%,0.4,0.5,1.7,0.2,1.5,1.7,0.4,0,0.8,1.8,3.8
5,14,31,4,10.3,55.60%,1.3,2.3,0.00%,0,0.1,71.40%,0.8,1.1,3.3,1,2.3,0.8,0.2,0.4,0.4,1,3.4
5,15,18,2,5.7,32.50%,0.7,2.2,20.00%,0.1,0.3,87.50%,0.4,0.4,1.6,0.2,1.3,0.3,0.1,0.2,0.2,1.1,1.9
6,0,76,75,36.9,45.50%,7.5,16.5,36.70%,1.2,3.3,86.50%,7.7,8.9,6.2,1.7,4.5,5.5,1.9,0.4,2.1,1.5,23.9
6,1,60,59,29.9,43.40%,6.9,15.9,31.00%,0.8,2.4,79.40%,3.7,4.7,4.5,1.1,3.5,3.8,1.4,0.7,2.3,1.9,18.3
6,2,55,55,27.4,52.10%,5,9.6,16.70%,0,0.2,71.40%,1.5,2.2,6.9,2.2,4.8,1.1,0.5,0.9,1.4,2.2,11.6
6,3,70,15,24,41.30%,3.7,8.9,34.20%,1.8,5.4,77.30%,1.4,1.8,5.5,0.9,4.6,1.1,0.8,0.8,1.1,1.8,10.6
6,4,81,81,28.1,49.30%,4.7,9.6,0.00%,0,0,72.10%,0.9,1.3,6.4,3,3.4,1,0.2,1.4,1.1,1.9,10.4
6,5,44,4,24.5,44.50%,3.8,8.5,37.30%,1.3,3.4,88.10%,1.3,1.5,3,0.3,2.6,1,0.3,0.1,0.7,1.3,10.2
6,6,69,42,26.7,40.80%,3.3,8.1,37.60%,0.7,1.9,60.00%,0.4,0.7,5.1,1.1,4.1,6.7,1.4,0.2,2.4,2.1,7.8
6,7,64,13,15.7,48.80%,2.9,5.9,33.30%,0.5,1.5,66.10%,0.6,0.9,4.6,1.2,3.5,0.5,0.3,0.2,0.6,1.5,6.8
6,8,45,19,18.8,36.60%,2.5,6.8,23.40%,0.3,1.4,75.30%,1.3,1.7,3.4,0.5,2.9,2.5,0.8,0.5,1.5,2.3,6.6
6,9,63,28,16.3,42.50%,2,4.8,36.60%,0.8,2.1,89.00%,1,1.2,1.8,0.3,1.5,1.9,0.7,0.1,0.7,1.5,5.9
6,10,44,18,19.1,39.80%,2,5,33.30%,0.8,2.3,77.50%,0.7,0.9,2.8,0.3,2.5,0.8,0.3,0.4,0.9,1.8,5.5
6,11,57,0,17.1,35.40%,1.8,5.1,35.10%,1.3,3.6,77.80%,0.2,0.3,2.6,0.2,2.5,1.1,0.5,0.1,0.9,1.5,5.1
6,12,11,0,13.1,33.30%,1.9,5.7,32.40%,1,3.1,25.00%,0.1,0.4,1.5,0.1,1.5,1.4,0.4,0,1.2,1.3,4.9
6,13,66,0,15.7,57.90%,1.9,3.3,,0,0,64.50%,0.9,1.4,4.7,1.9,2.8,0.6,0.4,0.3,0.5,1.7,4.8
6,14,39,0,15.2,36.40%,1.6,4.4,26.60%,0.6,2.4,90.90%,0.8,0.8,1.3,0.2,1.1,0.9,0.6,0,0.5,0.9,4.6
6,15,9,0,9.7,41.40%,1.3,3.2,42.90%,0.7,1.6,100.00%,1.2,1.2,0.2,0.1,0.1,0.7,0.2,0,0,0.4,4.6
6,16,20,1,12.2,40.20%,1.9,4.6,30.00%,0.3,1,60.00%,0.5,0.8,3.4,1.1,2.4,1,0.4,0,0.8,0.6,4.5
6,17,3,0,3.3,0.00%,0,0.3,0.00%,0,0.3,,0,0,0.3,0,0.3,0,0,0,0,0,0
7,0,56,38,32.9,42.70%,6.7,15.6,34.60%,1.6,4.7,73.10%,3.1,4.2,6.7,1.5,5.2,1.7,0.9,0.5,1.4,2.4,18
7,1,15,9,25.3,42.10%,5,11.9,41.40%,2.4,5.8,81.50%,1.5,1.8,2.4,0.4,2,6.1,1.1,0.4,2.6,1.9,13.9
7,2,80,66,28.2,45.80%,5.4,11.7,0.00%,0,0.1,67.30%,3.1,4.6,8.7,2.7,6,1.1,0.6,0.7,2.2,2.7,13.8
7,3,81,38,26.3,46.60%,4.5,9.6,20.00%,0,0.2,82.30%,4.3,5.2,3.1,0.6,2.6,5.2,0.7,0.1,2.2,1.1,13.3
7,4,36,34,29.6,38.50%,4.9,12.8,26.50%,1,3.8,83.30%,2.4,2.8,2.7,0.4,2.3,7.1,0.9,0.3,2.9,2.5,13.3
7,5,67,15,27.8,40.00%,3.9,9.9,40.30%,1.8,4.4,82.20%,2,2.4,2.6,0.4,2.3,3,0.7,0.3,1.2,2.3,11.6
7,6,31,31,32.1,52.80%,3.7,7,0.00%,0,0.1,66.70%,1.7,2.6,9.7,3.2,6.5,1.5,0.9,1.2,1.3,2.8,9.1
7,7,72,65,29,39.90%,3.1,7.7,37.90%,1.2,3.2,77.90%,1,1.3,3,0.5,2.6,3,0.9,0.1,1.1,1.5,8.3
7,8,37,10,18.9,45.60%,3,6.5,0.00%,0,0.1,61.80%,1.8,3,4.3,2,2.2,0.5,0.4,0.5,1.4,2.4,7.8
7,9,40,29,24.3,46.20%,2.7,5.9,34.70%,0.4,1.2,80.00%,1.6,2,3.9,1.2,2.7,0.8,0.8,0.4,1.1,2,7.4
7,10,44,18,21.5,42.50%,3,7,27.50%,0.6,2.1,64.30%,0.4,0.6,2.8,0.6,2.2,0.8,0.8,0.6,1.1,1.8,6.9
7,11,21,0,19,37.80%,2.4,6.4,25.00%,0.7,2.7,77.80%,0.7,0.9,4.2,1.1,3.1,1,0.5,0.5,0.5,2.1,6.2
7,12,54,15,17.3,37.40%,2,5.4,37.00%,0.6,1.7,76.30%,1.3,1.7,2.6,0.7,1.9,1.6,0.6,0.1,1.2,1.2,5.9
7,13,70,16,16.9,59.80%,1.9,3.1,,0,0,68.10%,1.6,2.3,2.7,1,1.7,0.4,0.3,0.6,1,2.8,5.3
7,14,39,8,15,45.80%,2.1,4.6,30.00%,0.2,0.8,80.60%,0.7,0.9,2.2,0.2,1.9,0.5,0.2,0.2,0.7,1.9,5.2
7,15,14,3,13.4,49.20%,2.1,4.2,,0,0,46.20%,0.9,1.9,2.7,1.1,1.6,0.1,0.5,0.2,0.4,1.4,5
7,16,40,13,19.1,40.20%,1.9,4.7,28.40%,0.7,2.4,90.90%,0.3,0.3,3,0.4,2.6,1.1,0.6,0.7,0.4,1,4.7
7,17,26,1,15,32.50%,1.6,4.8,28.90%,0.5,1.7,75.00%,0.3,0.5,1.8,0.3,1.6,0.8,0.3,0.1,0.6,1.3,4
7,18,4,1,16,28.60%,1,3.5,,0,0,83.30%,1.3,1.5,2.8,1.5,1.3,0.3,0.5,0.8,0.5,3,3.3
8,0,51,51,30.5,46.90%,6.9,14.6,39.90%,1.4,3.6,87.20%,3.4,3.8,3.7,0.9,2.9,5.4,1.1,0.4,3.1,2.2,18.5
8,1,65,65,33.1,40.30%,6.5,16.1,34.10%,1.4,4.1,68.30%,2.8,4.2,6.3,1.9,4.4,2,0.8,0.7,1.4,2.5,17.2
8,2,13,0,24.2,39.10%,4.5,11.6,24.60%,1.2,4.7,84.20%,2.5,2.9,3.5,0.5,3,2.7,1.1,0.2,2.3,2,12.7
8,3,25,25,31.4,51.40%,4.6,8.9,0.00%,0,0.2,67.20%,1.7,2.6,11.5,4.4,7.1,1.7,1.4,0.7,1.8,2.5,10.8
8,4,63,31,29,41.20%,3.6,8.7,32.10%,0.7,2.2,78.80%,2.7,3.4,5.1,1.6,3.5,1.8,1.3,0.3,1.8,2.4,10.6
8,5,41,4,24.5,39.80%,3.4,8.6,41.90%,0.6,1.5,83.00%,3,3.6,3.1,0.5,2.6,5.2,0.7,0,2,1.5,10.5
8,6,60,25,23.7,43.90%,3.2,7.4,0.00%,0,0,55.20%,1.8,3.2,6.5,3.1,3.4,0.5,0.5,1,1.4,2.2,8.2
8,7,35,7,26.2,35.10%,2.5,7.1,39.60%,1.6,4,79.10%,1,1.2,2.9,0.3,2.6,2.2,0.7,0.5,1.3,2,7.5
8,8,51,51,25.1,43.30%,2.8,6.4,36.20%,1,2.7,62.50%,0.7,1.1,2.7,0.2,2.5,2.4,0.7,0.1,1,1.3,7.2
8,9,65,35,20.6,40.30%,2.6,6.3,31.50%,0.8,2.6,68.50%,1.1,1.7,3.5,1,2.5,1,0.6,0.3,1,1.8,7.1
8,10,26,5,17.5,40.00%,2.3,5.8,33.30%,0.5,1.4,69.50%,1.6,2.3,2.7,0.4,2.3,1.2,0.5,0.2,1,1.1,6.7
8,11,25,11,24.3,40.30%,2.8,7,9.10%,0.1,0.9,80.80%,0.8,1,2.4,0.6,1.8,3.7,0.4,0.1,1.7,1.3,6.6
8,12,2,0,29.5,41.70%,2.5,6,50.00%,1,2,0.00%,0,1,3.5,0.5,3,1.5,1,0,1.5,3.5,6
8,13,54,0,15.3,45.50%,1.9,4.3,,0,0,70.10%,1.5,2.2,3.3,1.2,2.2,0.4,0.4,0.4,1,2.1,5.4
8,14,24,7,15.1,50.00%,1.2,2.3,,0,0,60.00%,1.4,2.3,2.3,1,1.3,0.3,0.2,0.5,1,2.3,3.7
8,15,5,3,19,29.20%,1.4,4.8,36.40%,0.8,2.2,,0,0,1,0,1,1.4,0.4,0.2,1,1.6,3.6
8,16,28,9,11.9,52.70%,1.4,2.6,,0,0,51.20%,0.8,1.5,2.6,0.7,1.9,0.3,0.4,0.2,0.6,2.1,3.5
8,17,21,1,11,35.40%,1.1,3.1,23.80%,0.2,1,75.00%,0.4,0.6,2.5,1,1.6,0.3,0.3,0.1,0.2,0.8,2.9
8,18,21,0,14.2,35.30%,0.9,2.4,43.80%,0.3,0.8,,0,0,1.7,0.3,1.3,1.4,0.1,0,1.2,1.5,2
8,19,2,0,6.5,40.00%,1,2.5,,0,0,,0,0,2,1,1,1,0.5,0,0,0.5,2
8,20,6,0,13.8,15.80%,0.5,3.2,50.00%,0.2,0.3,33.30%,0.3,1,2,0.5,1.5,0.7,0.5,0.7,0.3,1.2,1.5
9,0,59,59,34.7,45.20%,8.2,18.1,39.10%,1.8,4.7,85.50%,4.2,4.9,3.7,0.6,3.1,5.9,1.5,0.4,3.2,2.5,22.5
9,1,61,48,28.8,41.20%,5.5,13.4,31.00%,1,3.3,74.60%,2.6,3.5,2.4,0.4,2.1,3,1,0.3,2,1.9,14.7
9,2,25,25,36,47.80%,5.5,11.6,0.00%,0,0.2,75.50%,3.1,4.1,14.4,5.5,8.9,3.4,1.5,0.6,1.8,2.7,14.1
9,3,82,82,31.3,48.80%,4.8,9.7,0.00%,0,0,60.80%,2.2,3.5,9.4,3.7,5.7,1.3,0.7,0.9,1.5,2.9,11.7
9,4,65,13,21,41.50%,3.9,9.4,38.40%,1.9,5,86.90%,1.4,1.6,2.7,0.4,2.3,1,0.8,0.3,1.1,2.1,11.2
9,5,38,17,25.9,43.90%,3.8,8.7,37.10%,1.4,3.8,89.80%,1.4,1.6,3,0.5,2.5,1.6,0.8,0.1,0.9,1.1,10.4
9,6,82,82,31,41.00%,3.7,9.1,31.50%,0.8,2.7,79.50%,2,2.5,3.9,0.9,3,1.6,1.3,0.4,1.6,2.4,10.3
9,7,39,1,18.4,45.70%,3.9,8.6,20.00%,0,0.1,80.60%,2.2,2.8,5.1,1.8,3.3,0.7,0.4,0.7,1.2,2.3,10.2
9,8,77,55,26.3,43.80%,3.2,7.3,0.00%,0,0.1,76.40%,1.6,2,5.7,2.1,3.6,1.2,0.5,0.9,1.2,3.3,7.9
9,9,25,11,18,40.10%,3,7.5,31.60%,0.7,2.3,68.30%,1.1,1.6,1.3,0.3,1,2.6,0.5,0.1,1.5,1.3,7.8
9,10,49,12,23.1,50.70%,2.9,5.7,0.00%,0,0,84.30%,1.4,1.7,2.5,0.6,1.9,3.6,0.8,0.6,1.2,2.1,7.2
9,11,46,3,20.1,34.00%,1.8,5.4,34.40%,1.2,3.5,70.30%,0.6,0.8,1.3,0.1,1.2,1.8,0.7,0.1,0.7,1.9,5.4
9,12,20,0,12.9,34.60%,1.4,3.9,36.80%,0.4,1,80.00%,1,1.3,1.4,0.2,1.3,1.9,0.3,0,0.7,0.9,4.1
9,13,43,1,11.7,39.40%,1.5,3.7,32.90%,0.6,1.8,53.70%,0.5,1,2.7,0.5,2.2,0.7,0.6,0.3,0.5,1,4
9,14,50,0,17.1,39.20%,1.4,3.6,29.90%,0.4,1.3,50.00%,0.2,0.4,2.9,0.8,2.1,3.3,0.8,0.3,1.2,2,3.4
9,15,18,1,10.8,36.70%,1.2,3.3,0.00%,0,0.1,58.30%,0.8,1.3,1.6,0.6,1,0.4,0.2,0.2,0.3,1.7,3.2
9,16,32,0,10.4,40.20%,1.3,3.3,,0,0,60.00%,0.3,0.5,2.4,1.2,1.3,0.3,0.3,0.2,0.3,0.8,3
9,17,9,0,10.1,35.70%,1.1,3.1,0.00%,0,0.3,33.30%,0.2,0.7,1.4,0.6,0.9,0.6,0.2,0,0.6,1.2,2.4
