Id,客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分（客场:主场）,sub,obj,result
55,22,139,9胜4负,5胜9负,94:91,91,94,0
56,118,139,15胜3负,6胜11负,120:109,109,120,0
57,167,139,6胜14负,6胜12负,90:93,93,90,1
58,132,139,12胜8负,7胜12负,101:119,119,101,1
59,139,167,8胜12负,7胜15负,106:114,114,106,1
60,118,139,19胜5负,8胜13负,119:116,116,119,0
61,139,104,8胜14负,15胜11负,109:101,101,109,0
62,160,139,12胜15负,10胜14负,96:102,102,96,0
63,139,118,11胜15负,22胜7负,87:110,110,87,0
64,146,139,19胜10负,11胜17负,97:104,104,97,0
65,139,160,12胜17负,14胜19负,106:104,104,106,0
66,139,55,14胜18负,21胜15负,83:105,105,83,0
67,139,97,14胜20负,8胜28负,120:100,100,120,0
68,188,139,22胜15负,15胜20负,110:92,92,110,1
69,139,167,17胜21负,14胜27负,115:89,89,115,1
70,41,139,22胜19负,18胜21负,105:103,103,105,0
71,29,139,19胜24负,18胜22负,120:98,98,120,1
72,139,132,18胜23负,21胜22负,92:99,99,92,1
73,111,139,22胜24负,18胜24负,97:93,93,97,0
74,139,195,18胜25负,11胜34负,101:92,92,101,1
75,167,139,17胜30负,19胜26负,108:111,111,108,1
76,195,139,12胜37负,20胜28负,102:87,87,102,1
77,139,153,20胜30负,32胜20负,112:120,120,112,1
78,104,139,30胜25负,21胜33负,97:112,112,97,0
79,139,104,22胜33负,30胜26负,84:123,123,84,0
80,174,139,32胜26负,22胜35负,112:103,103,112,0
81,202,139,42胜16负,22胜37负,120:99,99,120,1
82,139,174,22胜39负,35胜28负,94:104,104,94,0
83,139,181,22胜40负,32胜31负,96:99,99,96,1
84,202,139,49胜16负,23胜42负,107:101,101,107,0
85,140,161,0胜0负,0胜0负,87:85,85,87,0
86,189,140,0胜1负,1胜0负,104:94,94,104,1
87,140,147,1胜1负,2胜0负,114:110,110,114,0
88,140,168,2胜1负,0胜3负,92:94,94,92,1
89,9,140,2胜2负,2胜2负,96:106,106,96,0
90,140,154,3胜2负,1胜4负,77:101,101,77,0
91,105,140,3胜3负,3胜3负,107:101,101,107,0
92,140,112,4胜4负,5胜3负,106:98,98,106,1
93,35,140,6胜3负,6胜5负,93:102,102,93,0
94,140,105,7胜5负,6胜6负,91:102,102,91,0
95,112,140,5胜6负,7胜6负,85:96,96,85,1
96,105,140,8胜7负,8胜6负,105:106,106,105,1
97,23,140,8胜8负,9胜6负,92:103,103,92,0
98,140,16,10胜7负,6胜13负,104:97,97,104,1
99,140,35,11胜7负,11胜6负,109:102,102,109,0
100,140,84,14胜7负,14胜5负,97:95,95,97,0
101,140,91,15胜7负,8胜13负,85:99,99,85,1
102,196,140,5胜18负,16胜8负,96:103,103,96,0
103,140,168,17胜8负,7胜17负,127:131,131,127,1
104,154,140,12胜14负,18胜9负,118:115,115,118,0
105,140,133,18胜10负,15胜14负,94:83,83,94,0
106,56,140,14胜15负,19胜10负,89:96,96,89,1
107,42,140,14胜14负,20胜10负,83:101,101,83,0
108,147,140,25胜7负,21胜10负,94:115,115,94,0
109,140,147,22胜10负,26胜8负,89:115,115,89,0
110,189,140,22胜10负,22胜11负,94:87,87,94,0
111,140,105,23胜12负,22胜16负,105:116,116,105,1
112,84,140,24胜12负,23胜13负,92:75,75,92,0
113,140,203,23胜14负,30胜11负,88:95,95,88,1
114,140,196,23胜15负,13胜26负,116:112,112,116,0
115,119,140,33胜9负,25胜15负,99:104,104,99,0
116,140,2,26胜15负,25胜16负,87:103,103,87,0
117,140,30,26胜16负,22胜19负,102:109,109,102,1
118,175,140,19胜26负,28胜17负,97:100,100,97,0
119,161,140,16胜31负,29胜17负,93:113,113,93,0
120,140,119,30胜18负,36胜12负,98:119,119,98,0
121,182,140,28胜25负,30胜21负,116:107,107,116,0
122,140,133,30胜22负,30胜24负,101:115,115,101,1
123,161,140,18胜36负,30胜23负,98:108,108,98,0
124,203,140,44胜12负,31胜23负,101:107,107,101,1
125,140,112,32胜23负,20胜32负,100:99,99,100,1
126,140,23,33胜23负,35胜21负,97:108,108,97,0
127,140,56,33胜26负,22胜34负,97:104,104,97,0
128,63,140,23胜37负,33胜27负,118:125,125,118,1
129,182,140,33胜29负,35胜27负,94:88,88,94,0
130,49,140,38胜22负,35胜29负,63:92,92,63,1
131,16,140,23胜43负,36胜29负,97:105,105,97,0
132,2,140,35胜29负,37胜29负,113:95,95,113,1
133,140,182,37胜30负,36胜30负,108:78,78,108,1
134,98,140,25胜43负,39胜31负,92:101,101,92,0
135,154,140,36胜34负,40胜31负,103:109,109,103,1
136,126,140,33胜39负,41胜32负,98:125,125,98,0
137,133,140,40胜37负,44胜32负,97:90,90,97,0
138,112,140,29胜47负,44胜33负,89:105,105,89,0
139,119,140,57胜21负,45胜33负,116:97,97,116,1
140,140,154,45胜34负,42胜37负,116:118,118,116,1
141,105,140,1胜1负,1胜1负,108:110,110,108,1
142,105,140,2胜3负,3胜2负,88:92,92,88,1
143,140,203,0胜0负,0胜0负,127:129,129,127,1
144,203,140,1胜1负,1胜1负,102:92,92,102,1
145,203,140,2胜1负,1胜2负,87:97,97,87,1
146,140,203,2胜2负,2胜2负,91:109,109,91,0
147,141,57,2胜1负,3胜0负,110:90,90,110,1
148,120,141,5胜2负,5胜3负,115:116,116,115,1
149,141,134,7胜3负,1胜10负,98:87,87,98,0
150,190,141,6胜5负,8胜3负,88:81,81,88,0
151,141,197,8胜6负,6胜7负,102:101,101,102,0
152,141,120,9胜7负,10胜3负,112:113,113,112,1
153,141,169,9胜8负,4胜10负,115:113,113,115,0
154,64,141,6胜10负,10胜8负,103:112,112,103,1
155,141,183,11胜8负,13胜7负,83:105,105,83,0
156,176,141,13胜9负,12胜10负,93:95,95,93,1
157,183,141,15胜8负,13胜10负,116:112,112,116,0
158,141,162,13胜11负,13胜9负,102:106,106,102,1
159,155,141,13胜13负,14胜13负,83:102,102,83,0
160,162,141,17胜10负,17胜13负,86:115,115,86,0
161,141,10,18胜13负,10胜19负,108:104,104,108,0
162,141,92,19胜13负,10胜20负,94:81,81,94,0
163,141,85,20胜13负,24胜7负,123:114,114,123,0
164,141,71,21胜13负,18胜14负,101:100,100,101,0
165,141,99,22胜13负,14胜16负,112:96,96,112,1
166,141,31,23胜13负,7胜26负,101:80,80,101,1
167,141,36,24胜13负,13胜21负,98:102,102,98,0
168,106,141,19胜18负,25胜14负,123:116,116,123,0
169,141,120,25胜15负,29胜10负,121:127,127,121,1
170,141,197,25胜16负,15胜23负,97:87,87,97,0
171,113,141,20胜21负,26胜17负,121:120,120,121,0
172,127,141,33胜11负,26胜18负,88:103,103,88,0
173,99,141,21胜22负,27胜18负,88:85,85,88,0
174,148,141,33胜15负,27胜19负,92:111,111,92,0
175,141,134,28胜19负,16胜29负,95:90,90,95,0
176,3,141,24胜24负,29胜20负,87:102,102,87,0
177,141,162,30胜20负,29胜20负,109:122,122,109,1
178,57,141,15胜37负,30胜21负,80:123,123,80,0
179,141,169,31胜22负,18胜35负,101:92,92,101,1
180,36,141,25胜27负,33胜22负,86:93,93,86,1
181,141,17,34胜22负,23胜33负,104:96,96,104,1
182,141,3,35胜22负,30胜26负,83:103,103,83,0
183,141,50,35胜23负,21胜37负,126:103,103,126,0
184,141,24,36胜24负,46胜13负,98:96,96,98,0
185,141,43,37胜24负,20胜40负,108:88,88,108,1
186,71,141,26胜33负,38胜24负,97:111,111,97,0
187,162,141,36胜25负,39胜24负,107:113,113,107,1
188,176,141,38胜26负,40胜24负,85:108,108,85,0
189,141,148,41胜24负,45胜20负,98:111,111,98,0
190,141,127,41胜26负,43胜23负,113:112,112,113,0
191,92,141,19胜48负,42胜26负,89:103,103,89,0
192,31,141,13胜55负,43胜26负,110:115,115,110,1
193,190,141,43胜28负,44胜27负,93:100,100,93,0
194,141,176,45胜28负,44胜30负,122:120,120,122,0
195,141,204,46胜28负,58胜16负,90:111,111,90,0
196,169,141,27胜48负,46胜29负,69:102,102,69,0
197,141,155,48胜30负,25胜53负,112:95,95,112,1
198,141,127,49胜30负,52胜28负,117:119,119,117,1
199,141,106,50胜31负,36胜45负,116:112,112,116,0
200,141,148,0胜0负,0胜0负,109:105,105,109,0
201,141,148,1胜0负,0胜1负,98:138,138,98,0
202,148,141,1胜1负,1胜1负,98:96,96,98,0
203,141,148,2胜2负,2胜2负,103:113,113,103,1
204,148,141,3胜2负,2胜3负,99:100,100,99,0
205,141,148,3胜3负,3胜3负,121:126,126,121,1
206,149,142,3胜1负,3胜0负,104:121,121,104,1
207,142,184,4胜0负,6胜0负,98:87,87,98,0
208,205,142,3胜3负,5胜1负,113:100,100,113,0
209,135,142,5胜7负,8胜2负,88:101,101,88,0
210,142,86,10胜2负,8胜6负,114:97,97,114,1
211,142,18,13胜2负,3胜13负,104:93,93,104,1
212,93,142,7胜12负,14胜2负,97:98,98,97,1
213,198,142,8胜8负,15胜2负,85:112,112,85,0
214,142,114,17胜2负,4胜15负,102:86,86,102,1
215,184,142,16胜4负,18胜2负,93:105,105,93,0
216,142,177,19胜2负,17胜7负,105:98,98,105,1
217,142,198,20胜2负,11胜11负,128:122,122,128,0
218,170,142,12胜15负,22胜3负,108:128,128,108,1
219,142,149,23胜4负,19胜10负,86:100,100,86,0
220,65,142,24胜8负,25胜5负,105:126,126,105,1
221,121,142,17胜17负,26胜5负,91:117,117,91,0
222,142,135,29胜5负,13胜25负,116:105,105,116,0
223,107,142,18胜22负,32胜6负,79:122,122,79,0
224,184,142,29胜13负,33胜6负,113:126,126,113,1
225,4,142,29胜17负,36胜6负,113:111,111,113,0
226,142,135,36胜7负,16胜30负,100:110,110,100,1
227,163,142,28胜20负,36胜8负,87:106,106,87,0
228,142,170,37胜8负,17胜29负,121:96,96,121,1
229,177,142,33胜17负,38胜8负,114:128,128,114,1
230,142,51,39胜9负,10胜40负,106:92,92,106,1
231,142,58,40胜9负,12胜40负,89:84,84,89,0
232,142,114,41胜9负,11胜41负,94:91,91,94,0
233,205,142,34胜20负,42胜9负,99:110,110,99,0
234,142,25,43胜9负,22胜33负,98:104,104,98,0
235,142,100,43胜10负,33胜23负,114:107,107,114,0
236,142,65,44胜11负,37胜20负,113:89,89,113,1
237,142,37,46胜11负,24胜33负,108:110,110,108,1
238,32,142,32胜28负,46胜12负,93:102,102,93,0
239,149,142,40胜22负,48胜12负,98:106,106,98,0
240,142,163,49胜12负,33胜31负,98:80,80,98,0
241,142,107,51胜12负,24胜41负,103:114,114,103,1
242,51,142,13胜51负,51胜13负,94:125,125,94,0
243,156,142,17胜48负,52胜13负,105:108,108,105,1
244,72,142,53胜14负,53胜13负,95:114,114,95,0
245,198,142,37胜31负,54胜13负,96:112,112,96,0
246,135,142,31胜37负,55胜13负,91:106,106,91,0
247,100,142,40胜30负,56胜13负,76:107,107,76,0
248,142,128,57胜13负,44胜24负,122:108,108,122,0
249,142,149,60胜13负,49胜25负,110:106,106,110,0
250,163,142,38胜37负,61胜13负,106:107,107,106,1
251,142,177,62胜13负,46胜30负,123:110,110,123,0
252,142,198,63胜14负,41胜35负,100:103,103,100,1
253,128,142,51胜27负,63胜15负,105:116,116,105,1
254,114,142,16胜63负,64胜15负,101:110,110,101,1
255,198,142,0胜0负,0胜0负,99:106,106,99,0
256,198,142,0胜1负,1胜0负,87:97,97,87,1
257,191,142,0胜0负,0胜0负,86:101,101,86,0
258,191,142,0胜1负,1胜0负,97:90,90,97,0
259,142,191,1胜1负,1胜1负,89:99,99,89,1
260,142,191,1胜2负,2胜1负,101:84,84,101,1
261,191,142,2胜2负,2胜2负,78:98,98,78,1
262,142,191,3胜2负,2胜3负,108:95,95,108,1
263,184,142,0胜0负,0胜0负,106:110,110,106,1
264,184,142,0胜1负,1胜0负,98:99,99,98,1
265,142,184,2胜0负,0胜2负,115:80,80,115,1
266,142,184,3胜0负,0胜3负,115:128,128,115,1
267,184,142,1胜3负,3胜1负,90:104,104,90,0
268,11,142,0胜1负,1胜0负,95:93,93,95,0
269,142,11,1胜1负,1胜1负,91:96,96,91,1
270,142,11,1胜2负,2胜1负,103:82,82,103,1
271,142,11,3胜2负,2胜3负,105:97,97,105,1
272,199,143,0胜0负,0胜0负,95:111,111,95,0
273,143,185,1胜0负,0胜1负,112:92,92,112,1
274,143,199,2胜0负,0胜2负,134:120,120,134,0
275,192,143,2胜1负,3胜0负,69:119,119,69,0
276,108,143,2胜3负,5胜0负,104:119,119,104,1
277,143,171,6胜0负,1胜5负,103:94,94,103,1
278,143,192,8胜0负,3胜5负,100:84,84,100,1
279,143,115,9胜0负,4胜3负,129:116,116,129,0
280,38,143,1胜8负,10胜0负,99:107,107,99,0
281,66,143,7胜4负,11胜0负,110:115,115,110,1
282,143,150,12胜0负,6胜4负,124:117,117,124,0
283,143,108,14胜0负,6胜7负,118:105,105,118,0
284,157,143,2胜11负,15胜0负,77:111,111,77,0
285,171,143,6胜11负,17胜0负,101:120,120,101,1
286,143,66,20胜0负,12胜8负,112:109,109,112,0
287,143,38,21胜0负,5胜14负,114:98,98,114,1
288,143,26,22胜0负,12胜7负,131:123,123,131,0
289,143,45,23胜0负,13胜9负,124:119,119,124,0
290,143,33,24胜0负,9胜15负,95:108,108,95,0
291,33,143,10胜17负,25胜1负,112:121,121,112,1
292,12,143,19胜7负,27胜1负,83:89,89,83,1
293,143,178,29胜1负,18胜13负,91:114,114,91,0
294,143,185,29胜2负,16胜17负,114:110,110,114,0
295,108,143,12胜21负,30胜2负,108:111,111,108,1
296,143,157,32胜2负,8胜27负,109:88,88,109,1
297,143,129,33胜2负,15胜23负,128:108,108,128,0
298,143,171,34胜2负,15胜21负,128:116,116,128,0
299,87,143,22胜15负,35胜2负,103:111,111,103,1
300,143,108,36胜2负,14胜24负,110:112,112,110,1
301,143,12,37胜4负,28胜10负,132:98,98,132,1
302,143,5,38胜4负,24胜16负,125:94,94,125,1
303,26,143,23胜19负,39胜4负,110:122,122,110,1
304,206,143,38胜6负,40胜4负,90:120,120,90,0
305,143,59,42胜4负,7胜40负,108:105,105,108,0
306,143,52,43胜4负,23胜26负,116:95,95,116,1
307,185,143,27胜26负,46胜4负,110:123,123,110,1
308,143,129,48胜4负,27胜27负,105:137,137,105,1
309,143,150,48胜5负,36胜18负,115:112,112,115,0
310,143,87,50胜5负,32胜24负,118:112,112,118,0
311,143,94,51胜5负,25胜30负,130:114,114,130,0
312,143,122,52胜5负,41胜17负,121:118,118,121,0
313,122,143,42胜19负,54胜5负,106:121,121,106,1
314,143,157,55胜5负,12胜51负,95:112,112,95,0
315,94,143,27胜34负,55胜6负,113:119,119,113,1
316,136,143,29胜34负,56胜6负,94:115,115,94,0
317,129,143,34胜31负,57胜6负,112:128,128,112,1
318,164,143,17胜48负,58胜6负,116:123,123,116,1
319,199,143,24胜41负,59胜6负,107:125,125,107,1
320,52,143,28胜40负,60胜6负,85:121,121,85,0
321,143,178,61胜6负,34胜34负,130:112,112,130,0
322,143,115,62胜7负,22胜47负,109:104,104,109,0
323,101,143,36胜37负,66胜7负,94:102,102,94,0
324,143,136,67胜7负,37胜37负,103:96,96,103,1
325,45,143,43胜32负,68胜7负,109:106,106,109,0
326,115,143,25胜52负,69胜8负,124:117,117,124,0
327,206,143,65胜12负,69胜9负,101:112,112,101,1
328,143,192,70胜9负,42胜37负,100:99,99,100,1
329,143,185,2胜0负,0胜2负,96:97,97,96,1
330,143,185,2胜1负,1胜2负,121:94,94,121,1
331,185,143,1胜3负,3胜1负,81:114,114,81,0
332,129,143,0胜0负,0胜0负,106:118,118,106,1
333,129,143,0胜1负,1胜0负,99:110,110,99,0
334,129,143,1胜3负,3胜1负,121:125,125,121,1
335,122,143,0胜0负,0胜0负,108:102,102,108,0
336,122,143,1胜0负,0胜1负,91:118,118,91,0
337,143,122,1胜2负,2胜1负,94:118,118,94,0
338,143,122,2胜3负,3胜2负,108:101,101,108,0
339,122,143,3胜3负,3胜3负,88:96,96,88,1
340,143,12,2胜1负,1胜2负,108:97,97,108,1
341,12,143,1胜3负,3胜1负,112:97,97,112,1
342,143,12,3胜2负,2胜3负,101:115,115,101,1
343,12,143,3胜3负,3胜3负,93:89,89,93,0
344,207,144,0胜0负,0胜0负,129:100,100,129,0
345,144,200,0胜1负,0胜1负,122:114,114,122,0
346,144,165,1胜1负,0胜2负,106:100,100,106,0
347,144,130,2胜1负,2胜1负,127:104,104,127,0
348,123,144,4胜0负,3胜1负,96:122,122,96,0
349,144,158,4胜1负,2胜3负,97:117,117,97,0
350,200,144,0胜6负,4胜2负,106:116,116,106,1
351,179,144,2胜5负,5胜2负,95:116,116,95,0
352,144,109,6胜2负,3胜4负,125:101,101,125,0
353,165,144,3胜7负,7胜2负,120:133,133,120,1
354,144,67,8胜2负,7胜3负,127:121,121,127,0
355,144,27,11胜2负,7胜7负,120:83,83,120,1
356,144,158,13胜2负,8胜8负,109:85,85,109,1
357,186,144,11胜7负,16胜2负,132:127,127,132,0
358,27,144,10胜10负,17胜3负,106:142,142,106,1
359,144,151,18胜3负,16胜6负,115:98,98,115,1
360,144,137,19胜3负,14胜9负,106:99,99,106,1
361,144,193,20胜3负,16胜8负,89:110,110,89,0
362,144,116,20胜4负,6胜17负,116:108,108,116,0
363,144,200,21胜4负,8胜17负,113:109,109,113,0
364,53,144,14胜11负,22胜4负,90:103,103,90,0
365,130,144,13胜15负,23胜4负,90:135,135,90,0
366,144,39,25胜4负,7胜20负,117:101,101,117,0
367,144,13,27胜4负,22胜6负,108:109,109,108,1
368,67,144,22胜8负,27胜5负,111:121,121,111,1
369,193,144,22胜16负,31胜5负,128:119,119,128,0
370,13,144,29胜10负,34胜6负,91:126,126,91,0
371,144,186,36胜6负,33胜12负,125:108,108,125,0
372,144,95,37胜6负,18胜27负,118:98,98,118,1
373,144,88,38胜6负,14胜30负,102:105,105,102,1
374,151,144,30胜17负,39胜7负,98:144,144,98,0
375,144,130,40胜7负,21胜27负,113:111,111,113,0
376,6,144,26胜26负,43胜8负,92:123,123,92,0
377,144,123,45胜8负,31胜23负,130:114,114,130,0
378,39,144,9胜48负,48胜9负,95:112,112,95,0
379,144,60,49胜9负,22胜36负,119:108,108,119,0
380,144,102,50胜9负,34胜23负,108:112,112,108,1
381,144,53,50胜11负,25胜37负,112:105,105,112,0
382,144,116,52胜12负,26胜37负,102:103,103,102,1
383,144,207,52胜13负,50胜14负,85:107,107,85,0
384,60,144,24胜42负,52胜14负,104:106,106,104,1
385,144,123,55胜14负,40胜29负,111:95,95,111,1
386,172,144,27胜44负,57胜14负,100:114,114,100,1
387,193,144,40胜32负,58胜14负,94:106,106,94,0
388,144,186,59胜14负,51胜22负,113:106,106,113,0
389,186,144,51胜24负,61胜14负,98:107,107,98,0
390,102,144,46胜30负,62胜14负,115:139,139,115,1
391,144,165,64胜14负,22胜56负,120:111,111,120,0
392,200,144,33胜46负,65胜14负,101:123,123,101,1
393,137,144,49胜31负,66胜14负,105:99,99,105,1
394,158,144,26胜55负,66胜15负,94:109,109,94,0
395,130,144,0胜0负,0胜0负,109:121,121,109,1
396,144,130,2胜0负,0胜2负,119:113,113,119,0
397,137,144,0胜0负,0胜0负,94:106,106,94,0
398,137,144,0胜1负,1胜0负,104:115,115,104,1
399,144,137,3胜0负,0胜3负,121:95,95,121,1
400,207,144,0胜0负,0胜0负,111:113,113,111,1
401,13,144,0胜0负,0胜0负,91:113,113,91,0
402,13,144,0胜1负,1胜0负,113:132,132,113,1
403,144,13,2胜0负,0胜2负,118:113,113,118,0
404,82,54,0胜1负,0胜0负,97:87,87,97,0
405,89,82,1胜0负,1胜1负,70:96,96,70,1
406,131,82,3胜3负,5胜2负,116:114,114,116,0
407,40,82,6胜2负,5胜3负,112:107,107,112,0
408,61,82,2胜7负,5胜4负,100:109,109,100,1
409,21,82,5胜6负,8胜5负,93:77,77,93,0
410,82,89,8胜6负,9胜4负,95:104,104,95,0
411,54,82,3胜12负,8胜7负,90:99,99,90,1
412,14,82,6胜12负,10胜8负,72:97,97,72,1
413,82,7,11胜8负,7胜10负,118:90,90,118,1
414,68,82,13胜7负,12胜8负,77:89,89,77,1
415,82,28,13胜8负,7胜12负,88:78,78,88,0
416,82,131,14胜8负,16胜6负,111:98,98,111,1
417,82,166,16胜8负,5胜15负,104:83,83,104,1
418,194,82,14胜9负,17胜8负,84:96,96,84,1
419,7,82,7胜17负,18胜8负,95:101,101,95,0
420,82,96,20胜8负,6胜18负,95:94,94,95,0
421,173,82,21胜5负,21胜8负,98:96,96,98,0
422,82,159,21胜9负,13胜14负,95:83,83,95,0
423,82,152,22胜9负,21胜8负,96:80,80,96,0
424,47,82,18胜12负,23胜9负,98:106,106,98,0
425,138,82,13胜19负,25胜9负,107:114,114,107,1
426,82,28,28胜9负,13胜20负,101:95,95,101,1
427,82,103,30胜10负,21胜16负,102:130,130,102,1
428,82,0,30胜11负,26胜13负,96:99,99,96,1
429,68,82,27胜15负,30胜12负,93:89,89,93,0
430,82,47,31胜13负,23胜21负,88:93,93,88,1
431,82,117,32胜14负,30胜16负,108:103,103,108,0
432,7,82,8胜39负,33胜14负,90:117,117,90,0
433,82,89,34胜14负,31胜18负,104:100,100,104,0
434,145,82,19胜30负,36胜14负,79:97,97,79,1
435,82,14,38胜14负,20胜33负,106:92,92,106,1
436,82,40,39胜14负,38胜14负,82:85,85,82,1
437,82,21,39胜15负,24胜28负,110:103,103,110,0
438,166,82,13胜40负,41胜15负,97:117,117,97,0
439,82,0,42胜15负,38胜17负,89:93,93,89,1
440,47,82,29胜27负,43胜16负,91:86,86,91,0
441,89,82,39胜22负,43胜17负,99:96,96,99,0
442,0,82,42胜18负,43胜19负,87:86,86,87,0
443,124,82,36胜27负,43胜20负,105:96,96,105,1
444,152,82,46胜19负,43胜21负,88:94,94,88,1
445,187,82,36胜30负,44胜21负,85:118,118,85,0
446,201,82,54胜12负,45胜21负,80:110,110,80,0
447,82,68,46胜22负,39胜29负,106:85,85,106,1
448,54,82,37胜34负,49胜22负,99:111,111,99,0
449,180,82,38胜34负,50胜22负,119:125,125,119,1
450,82,7,51胜22负,14胜58负,90:102,102,90,0
451,82,110,52胜23负,17胜58负,111:92,92,111,1
452,28,82,31胜46负,54胜23负,90:85,85,90,0
453,40,82,55胜24负,55胜24负,77:100,100,77,0
454,54,82,0胜0负,0胜0负,89:97,97,89,1
455,54,82,0胜1负,1胜0负,73:94,94,73,1
456,40,82,0胜0负,0胜0负,90:99,99,90,1
457,82,40,2胜1负,1胜2负,98:90,90,98,0
458,40,82,1胜3负,3胜1负,87:97,97,87,1
459,82,0,0胜0负,0胜0负,82:103,103,82,0
460,82,0,0胜1负,1胜0负,85:75,75,85,0
461,0,82,1胜1负,1胜1负,85:96,96,85,1
462,82,0,3胜1负,1胜3负,83:80,80,83,0
463,173,82,0胜0负,0胜0负,84:92,92,84,1
464,173,82,0胜1负,1胜0负,95:93,93,95,0
465,82,173,2胜1负,1胜2负,83:86,86,83,1
466,82,173,2胜2负,2胜2负,103:112,112,103,1
467,83,174,0胜0负,0胜0负,105:94,94,105,1
468,41,83,0胜1负,1胜0负,107:115,115,107,1
469,83,111,3胜0负,0胜2负,103:101,101,103,0
470,69,83,3胜1负,5胜0负,100:92,92,100,1
471,22,83,4胜1负,5胜1负,83:118,118,83,0
472,83,69,6胜1负,4胜2负,116:109,109,116,0
473,83,146,8胜2负,4胜3负,89:95,95,89,1
474,83,104,8胜3负,7胜4负,104:117,117,104,1
475,202,83,9胜4负,8胜4负,98:120,120,98,0
476,153,83,10胜5负,9胜4负,87:98,98,87,1
477,55,83,11胜4负,10胜4负,92:113,113,92,0
478,8,83,6胜9负,11胜5负,85:92,92,85,1
479,83,15,12胜5负,4胜14负,101:98,98,101,1
480,48,83,7胜11负,13胜5负,89:99,99,89,1
481,1,83,17胜4负,14胜5负,93:97,97,93,1
482,195,83,4胜16负,15胜5负,95:109,109,95,0
483,83,55,16胜6负,16胜6负,99:79,79,99,0
484,62,83,8胜16负,17胜6负,89:95,95,89,1
485,83,90,19胜6负,15胜10负,89:102,102,89,0
486,83,69,20胜7负,18胜9负,107:87,87,107,1
487,83,8,23胜7负,11胜16负,111:87,87,111,1
488,167,83,10胜21负,25胜7负,108:120,120,108,1
489,83,132,28胜7负,16胜18负,98:99,99,98,1
490,83,153,28胜8负,22胜14负,83:93,93,83,1
491,69,83,23胜15负,29胜9负,86:89,89,86,1
492,83,90,31胜9负,27胜15负,98:104,104,98,0
493,83,1,31胜10负,35胜9负,102:106,106,102,1
494,83,55,31胜11负,25胜18负,84:78,78,84,0
495,90,83,29胜16负,32胜11负,81:91,91,81,1
