客场队名,主场队名,客场本场前战绩,主场本场前战绩,比分
135,142,31胜37负,55胜13负,91:106
100,142,40胜30负,56胜13负,76:107
142,128,57胜13负,44胜24负,122:108
142,149,60胜13负,49胜25负,110:106
163,142,38胜37负,61胜13负,106:107
142,177,62胜13负,46胜30负,123:110
142,198,63胜14负,41胜35负,100:103
128,142,51胜27负,63胜15负,105:116
114,142,16胜63负,64胜15负,101:110
198,142,0胜0负,0胜0负,99:106
198,142,0胜1负,1胜0负,87:97
191,142,0胜0负,0胜0负,86:101
191,142,0胜1负,1胜0负,97:90
142,191,1胜1负,1胜1负,89:99
142,191,1胜2负,2胜1负,101:84
191,142,2胜2负,2胜2负,78:98
142,191,3胜2负,2胜3负,108:95
184,142,0胜0负,0胜0负,106:110
184,142,0胜1负,1胜0负,98:99
142,184,2胜0负,0胜2负,115:80
142,184,3胜0负,0胜3负,115:128
184,142,1胜3负,3胜1负,90:104
11,142,0胜1负,1胜0负,95:93
142,11,1胜1负,1胜1负,91:96
142,11,1胜2负,2胜1负,103:82
142,11,3胜2负,2胜3负,105:97
199,143,0胜0负,0胜0负,95:111
143,185,1胜0负,0胜1负,112:92
143,199,2胜0负,0胜2负,134:120
192,143,2胜1负,3胜0负,69:119
108,143,2胜3负,5胜0负,104:119
143,171,6胜0负,1胜5负,103:94
143,192,8胜0负,3胜5负,100:84
143,115,9胜0负,4胜3负,129:116
38,143,1胜8负,10胜0负,99:107
66,143,7胜4负,11胜0负,110:115
143,150,12胜0负,6胜4负,124:117
143,108,14胜0负,6胜7负,118:105
157,143,2胜11负,15胜0负,77:111
171,143,6胜11负,17胜0负,101:120
143,66,20胜0负,12胜8负,112:109
143,38,21胜0负,5胜14负,114:98
143,26,22胜0负,12胜7负,131:123
143,45,23胜0负,13胜9负,124:119
143,33,24胜0负,9胜15负,95:108
33,143,10胜17负,25胜1负,112:121
12,143,19胜7负,27胜1负,83:89
143,178,29胜1负,18胜13负,91:114
143,185,29胜2负,16胜17负,114:110
108,143,12胜21负,30胜2负,108:111
143,157,32胜2负,8胜27负,109:88
143,129,33胜2负,15胜23负,128:108
143,171,34胜2负,15胜21负,128:116
87,143,22胜15负,35胜2负,103:111
143,108,36胜2负,14胜24负,110:112
143,12,37胜4负,28胜10负,132:98
143,5,38胜4负,24胜16负,125:94
26,143,23胜19负,39胜4负,110:122
206,143,38胜6负,40胜4负,90:120
143,59,42胜4负,7胜40负,108:105
143,52,43胜4负,23胜26负,116:95
185,143,27胜26负,46胜4负,110:123
143,129,48胜4负,27胜27负,105:137
143,150,48胜5负,36胜18负,115:112
143,87,50胜5负,32胜24负,118:112
143,94,51胜5负,25胜30负,130:114
143,122,52胜5负,41胜17负,121:118
122,143,42胜19负,54胜5负,106:121
143,157,55胜5负,12胜51负,95:112
94,143,27胜34负,55胜6负,113:119
136,143,29胜34负,56胜6负,94:115
129,143,34胜31负,57胜6负,112:128
164,143,17胜48负,58胜6负,116:123
199,143,24胜41负,59胜6负,107:125
52,143,28胜40负,60胜6负,85:121
143,178,61胜6负,34胜34负,130:112
143,115,62胜7负,22胜47负,109:104
101,143,36胜37负,66胜7负,94:102
143,136,67胜7负,37胜37负,103:96
45,143,43胜32负,68胜7负,109:106
115,143,25胜52负,69胜8负,124:117
206,143,65胜12负,69胜9负,101:112
143,192,70胜9负,42胜37负,100:99
143,185,2胜0负,0胜2负,96:97
143,185,2胜1负,1胜2负,121:94
185,143,1胜3负,3胜1负,81:114
129,143,0胜0负,0胜0负,106:118
129,143,0胜1负,1胜0负,99:110
129,143,1胜3负,3胜1负,121:125
122,143,0胜0负,0胜0负,108:102
122,143,1胜0负,0胜1负,91:118
143,122,1胜2负,2胜1负,94:118
143,122,2胜3负,3胜2负,108:101
122,143,3胜3负,3胜3负,88:96
143,12,2胜1负,1胜2负,108:97
12,143,1胜3负,3胜1负,112:97
143,12,3胜2负,2胜3负,101:115
12,143,3胜3负,3胜3负,93:89
207,144,0胜0负,0胜0负,129:100
144,200,0胜1负,0胜1负,122:114
144,165,1胜1负,0胜2负,106:100
144,130,2胜1负,2胜1负,127:104
123,144,4胜0负,3胜1负,96:122
144,158,4胜1负,2胜3负,97:117
200,144,0胜6负,4胜2负,106:116
179,144,2胜5负,5胜2负,95:116
144,109,6胜2负,3胜4负,125:101
165,144,3胜7负,7胜2负,120:133
144,67,8胜2负,7胜3负,127:121
144,27,11胜2负,7胜7负,120:83
144,158,13胜2负,8胜8负,109:85
186,144,11胜7负,16胜2负,132:127
27,144,10胜10负,17胜3负,106:142
144,151,18胜3负,16胜6负,115:98
144,137,19胜3负,14胜9负,106:99
144,193,20胜3负,16胜8负,89:110
144,116,20胜4负,6胜17负,116:108
144,200,21胜4负,8胜17负,113:109
53,144,14胜11负,22胜4负,90:103
130,144,13胜15负,23胜4负,90:135
144,39,25胜4负,7胜20负,117:101
144,13,27胜4负,22胜6负,108:109
67,144,22胜8负,27胜5负,111:121
193,144,22胜16负,31胜5负,128:119
13,144,29胜10负,34胜6负,91:126
144,186,36胜6负,33胜12负,125:108
144,95,37胜6负,18胜27负,118:98
144,88,38胜6负,14胜30负,102:105
151,144,30胜17负,39胜7负,98:144
144,130,40胜7负,21胜27负,113:111
6,144,26胜26负,43胜8负,92:123
144,123,45胜8负,31胜23负,130:114
39,144,9胜48负,48胜9负,95:112
144,60,49胜9负,22胜36负,119:108
144,102,50胜9负,34胜23负,108:112
144,53,50胜11负,25胜37负,112:105
144,116,52胜12负,26胜37负,102:103
144,207,52胜13负,50胜14负,85:107
60,144,24胜42负,52胜14负,104:106
144,123,55胜14负,40胜29负,111:95
172,144,27胜44负,57胜14负,100:114
193,144,40胜32负,58胜14负,94:106
144,186,59胜14负,51胜22负,113:106
186,144,51胜24负,61胜14负,98:107
102,144,46胜30负,62胜14负,115:139
144,165,64胜14负,22胜56负,120:111
200,144,33胜46负,65胜14负,101:123
137,144,49胜31负,66胜14负,105:99
158,144,26胜55负,66胜15负,94:109
130,144,0胜0负,0胜0负,109:121
144,130,2胜0负,0胜2负,119:113
137,144,0胜0负,0胜0负,94:106
137,144,0胜1负,1胜0负,104:115
144,137,3胜0负,0胜3负,121:95
207,144,0胜0负,0胜0负,111:113
13,144,0胜0负,0胜0负,91:113
13,144,0胜1负,1胜0负,113:132
144,13,2胜0负,0胜2负,118:113
82,54,0胜1负,0胜0负,97:87
89,82,1胜0负,1胜1负,70:96
131,82,3胜3负,5胜2负,116:114
40,82,6胜2负,5胜3负,112:107
61,82,2胜7负,5胜4负,100:109
21,82,5胜6负,8胜5负,93:77
82,89,8胜6负,9胜4负,95:104
54,82,3胜12负,8胜7负,90:99
14,82,6胜12负,10胜8负,72:97
82,7,11胜8负,7胜10负,118:90
68,82,13胜7负,12胜8负,77:89
82,28,13胜8负,7胜12负,88:78
82,131,14胜8负,16胜6负,111:98
82,166,16胜8负,5胜15负,104:83
194,82,14胜9负,17胜8负,84:96
7,82,7胜17负,18胜8负,95:101
82,96,20胜8负,6胜18负,95:94
173,82,21胜5负,21胜8负,98:96
82,159,21胜9负,13胜14负,95:83
82,152,22胜9负,21胜8负,96:80
47,82,18胜12负,23胜9负,98:106
138,82,13胜19负,25胜9负,107:114
82,28,28胜9负,13胜20负,101:95
82,103,30胜10负,21胜16负,102:130
82,0,30胜11负,26胜13负,96:99
68,82,27胜15负,30胜12负,93:89
82,47,31胜13负,23胜21负,88:93
82,117,32胜14负,30胜16负,108:103
7,82,8胜39负,33胜14负,90:117
82,89,34胜14负,31胜18负,104:100
145,82,19胜30负,36胜14负,79:97
82,14,38胜14负,20胜33负,106:92
82,40,39胜14负,38胜14负,82:85
82,21,39胜15负,24胜28负,110:103
166,82,13胜40负,41胜15负,97:117
82,0,42胜15负,38胜17负,89:93
47,82,29胜27负,43胜16负,91:86
89,82,39胜22负,43胜17负,99:96
0,82,42胜18负,43胜19负,87:86
124,82,36胜27负,43胜20负,105:96
152,82,46胜19负,43胜21负,88:94
187,82,36胜30负,44胜21负,85:118
201,82,54胜12负,45胜21负,80:110
82,68,46胜22负,39胜29负,106:85
54,82,37胜34负,49胜22负,99:111
180,82,38胜34负,50胜22负,119:125
82,7,51胜22负,14胜58负,90:102
82,110,52胜23负,17胜58负,111:92
28,82,31胜46负,54胜23负,90:85
40,82,55胜24负,55胜24负,77:100
54,82,0胜0负,0胜0负,89:97
54,82,0胜1负,1胜0负,73:94
40,82,0胜0负,0胜0负,90:99
82,40,2胜1负,1胜2负,98:90
40,82,1胜3负,3胜1负,87:97
82,0,0胜0负,0胜0负,82:103
82,0,0胜1负,1胜0负,85:75
0,82,1胜1负,1胜1负,85:96
82,0,3胜1负,1胜3负,83:80
173,82,0胜0负,0胜0负,84:92
173,82,0胜1负,1胜0负,95:93
82,173,2胜1负,1胜2负,83:86
82,173,2胜2负,2胜2负,103:112
83,174,0胜0负,0胜0负,105:94
41,83,0胜1负,1胜0负,107:115
83,111,3胜0负,0胜2负,103:101
69,83,3胜1负,5胜0负,100:92
22,83,4胜1负,5胜1负,83:118
83,69,6胜1负,4胜2负,116:109
83,139,8胜1负,2胜6负,106:111
83,146,8胜2负,4胜3负,89:95
83,104,8胜3负,7胜4负,104:117
202,83,9胜4负,8胜4负,98:120
153,83,10胜5负,9胜4负,87:98
55,83,11胜4负,10胜4负,92:113
8,83,6胜9负,11胜5负,85:92
83,15,12胜5负,4胜14负,101:98
48,83,7胜11负,13胜5负,89:99
1,83,17胜4负,14胜5负,93:97
195,83,4胜16负,15胜5负,95:109
83,55,16胜6负,16胜6负,99:79
62,83,8胜16负,17胜6负,89:95
83,90,19胜6负,15胜10负,89:102
83,69,20胜7负,18胜9负,107:87
83,8,23胜7负,11胜16负,111:87
167,83,10胜21负,25胜7负,108:120
83,132,28胜7负,16胜18负,98:99
83,153,28胜8负,22胜14负,83:93
69,83,23胜15负,29胜9负,86:89
83,90,31胜9负,27胜15负,98:104
83,1,31胜10负,35胜9负,102:106
83,55,31胜11负,25胜18负,84:78
90,83,29胜16负,32胜11负,81:91
160,83,23胜22负,33胜11负,95:99
83,15,34胜11负,16胜30负,88:73
83,22,35胜12负,28胜19负,90:105
174,83,29胜22负,35胜13负,85:106
83,62,36胜13负,17胜34负,113:101
15,83,21胜34负,39胜15负,75:98
41,83,32胜24负,40胜15负,115:107
83,48,41胜17负,31胜28负,93:85
62,83,22胜40负,43胜17负,72:96
97,83,16胜46负,45胜17负,86:84
83,41,46胜18负,37胜27负,66:78
48,83,0胜0负,0胜0负,67:100
48,83,0胜1负,1胜0负,94:104
83,48,2胜0负,0胜2负,87:70
83,48,3胜0负,0胜3负,87:89
83,22,1胜1负,1胜1负,75:94
22,83,2胜2负,2胜2负,83:115
41,83,0胜0负,0胜0负,79:93
83,41,2胜0负,0胜2负,91:101
83,41,2胜3负,3胜2负,98:79
83,118,0胜0负,0胜0负,94:105
118,83,1胜1负,1胜1负,85:91
35,84,1胜1负,3胜1负,73:103
84,189,5胜1负,4胜1负,86:104
84,182,5胜2负,3胜3负,113:110
84,147,6胜2负,5胜2负,100:107
84,105,6胜3负,4胜4负,98:93
30,84,6胜3负,8胜3负,106:113
9,84,3胜9负,9胜3负,108:110
203,84,13胜3负,10胜3负,100:105
84,98,12胜3负,1胜13负,101:105
49,84,13胜4负,12胜4负,112:92
70,84,12胜5负,13胜5负,92:101
119,84,21胜5负,18胜6负,97:103
84,16,20胜6负,9胜22负,99:109
84,91,20胜8负,12胜18负,112:110
175,84,13胜19负,21胜8负,109:119
2,84,17胜13负,22胜8负,96:89
84,126,23胜10负,19胜15负,90:92
84,140,24胜12负,23胜13负,92:75
16,84,16胜26负,27胜12负,88:110
84,35,28胜13负,27胜18负,105:85
84,23,29胜13负,27胜19负,89:102
84,63,29胜14负,17胜30负,100:85
182,84,27胜23负,31胜14负,108:114
147,84,35胜16负,32胜14负,89:111
126,84,25胜26负,34胜14负,104:117
84,119,35胜14负,39胜13负,110:100
84,2,37胜14负,31胜22负,86:67
84,56,38胜14负,22胜30负,114:90
168,84,19胜38负,40胜14负,129:141
23,84,39胜23负,46胜14负,91:105
70,84,34胜28负,47胜14负,81:98
84,30,49胜14负,32胜31负,107:94
84,63,50胜14负,26胜40负,108:91
84,42,51胜14负,36胜29负,105:103
84,91,55胜14负,18胜52负,108:94
84,2,56胜14负,38胜31负,97:101
84,196,56胜15负,25胜47负,108:89
84,203,57胜15负,55胜17负,88:86
49,84,46胜26负,58胜15负,102:90
56,84,31胜44负,59胜16负,87:106
30,84,37胜39负,60胜16负,83:94
84,98,61胜16负,29胜49负,103:98
2,84,43胜36负,63胜16负,93:105
84,9,64胜16负,24胜56负,96:95
91,84,20胜61负,65胜16负,93:105
30,84,0胜0负,0胜0负,87:110
30,84,0胜1负,1胜0负,86:98
84,30,2胜0负,0胜2负,104:91
84,30,3胜0负,0胜3负,88:77
2,84,0胜0负,0胜0负,93:86
84,2,1胜1负,1胜1负,104:94
2,84,1胜3负,3胜1负,91:94
23,84,0胜0负,0胜0负,102:103
23,84,0胜1负,1胜0负,97:93
84,23,1胜1负,1胜1负,114:96
84,23,2胜1负,1胜2负,92:99
23,84,3胜3负,3胜3负,76:99
203,84,0胜0负,0胜0负,92:88
203,84,1胜0负,0胜1负,84:103
84,203,1胜2负,2胜1负,109:93
84,203,2胜2负,2胜2负,104:114
203,84,3胜2负,2胜3负,100:103
203,84,3胜3负,3胜3负,88:95
3,85,0胜0负,0胜0负,95:107
85,57,1胜0负,0胜0负,110:114
85,36,1胜1负,0胜1负,100:101
99,85,0胜2负,1胜2负,93:103
85,64,2胜2负,2胜1负,104:95
148,85,3胜2负,3胜2负,97:102
43,85,2胜4负,4胜2负,111:110
31,85,2胜3负,4胜3负,95:118
176,85,5胜3负,5胜3负,104:110
71,85,6胜4负,7胜3负,88:104
162,85,7胜6负,10胜3负,92:107
85,10,11胜3负,4胜10负,95:84
17,85,7胜10负,14胜3负,107:97
85,3,14胜4负,7胜9负,87:107
85,113,14胜5负,9胜10负,103:82
85,17,15胜5负,10胜10负,110:95
85,24,16胜5负,18胜3负,84:90
10,85,9胜13负,16胜6负,107:114
134,85,6胜20负,17胜6负,94:117
24,85,20胜4负,18胜6负,94:97
169,85,7胜17负,19胜6负,103:122
71,85,15胜12负,20胜6负,119:121
85,155,21胜6负,13胜15负,101:95
85,127,22胜7负,24胜5负,108:107
85,106,23胜7负,14胜15负,97:94
141,85,20胜13负,24胜7负,123:114
85,92,24胜8负,10胜22负,110:94
85,50,27胜8负,12胜22负,92:102
85,99,27胜10负,17胜19负,97:114
85,57,27胜11负,13胜25负,101:86
85,71,29胜11负,20胜19负,114:121
43,85,14胜28负,29胜12负,86:93
155,85,16胜26负,30胜12负,102:109
204,85,33胜10负,31胜12负,101:113
120,85,36胜10负,32胜12负,112:95
85,148,34胜13负,34胜17负,116:112
85,134,35胜13负,16胜33负,89:94
85,162,35胜14负,30胜20负,103:97
85,120,38胜14负,43胜12负,103:81
3,85,29胜25负,39胜14负,79:93
50,85,21胜36负,40胜14负,82:108
85,183,43胜14负,40胜19负,103:106
85,204,43胜15负,44胜16负,87:111
99,85,33胜29负,43胜17负,90:99
36,85,32胜30负,44胜17负,96:95
106,85,28胜36负,44胜18负,111:107
183,85,44胜21负,44胜19负,104:113
85,10,45胜19负,26胜41负,100:96
85,197,47胜20负,28胜40负,95:105
85,24,48胜21负,51胜20负,83:84
85,17,48胜22负,26胜45负,110:78
36,85,42胜34负,53胜23负,88:87
85,190,53胜24负,45胜32负,102:107
24,85,54胜25负,53胜25负,86:98
85,71,54胜25负,36胜43负,85:98
36,85,0胜0负,0胜0负,86:107
85,36,2胜1负,1胜2负,102:96
36,85,1胜3负,3胜1负,94:96
24,85,1胜1负,1胜1负,87:99
24,85,1胜2负,2胜1负,90:102
24,85,2胜3负,3胜2负,92:117
85,204,0胜0负,0胜0负,95:110
85,204,0胜1负,1胜0负,98:96
204,85,1胜1负,1胜1负,111:92
85,204,1胜3负,3胜1负,87:104
86,58,1胜0负,0胜2负,114:96
65,86,2胜0负,2胜0负,102:107
184,86,4胜0负,3胜0负,108:91
114,86,2胜3负,3胜2负,92:102
86,177,4胜2负,4胜2负,105:96
25,86,2胜6负,5胜2负,81:75
86,72,5胜3负,4胜3负,103:114
149,86,6胜4负,6胜5负,110:93
86,93,6胜6负,6胜8负,99:92
86,100,9胜7负,10胜5负,86:107
72,86,10胜6负,9胜8负,112:102
86,32,9胜9负,10胜10负,85:109
86,163,9胜11负,12胜10负,103:97
86,107,10胜11负,9胜12负,82:102
4,86,14胜8负,11胜12负,93:75
86,37,11胜13负,10胜12负,95:91
135,86,6胜19负,12胜13负,105:87
100,86,18胜6负,12胜14负,105:103
11,86,17胜10负,13胜16负,91:101
191,86,21胜8负,14胜16负,103:95
93,86,12胜21负,14胜17负,102:101
86,25,14胜18负,11胜21负,95:106
37,86,16胜16负,14胜20负,84:88
86,156,16胜21负,12胜26负,78:75
86,142,17胜21负,30胜5负,89:104
86,170,17胜22负,16胜22负,95:83
86,4,19胜24负,29胜16负,96:84
86,44,20胜26负,16胜29负,83:75
51,86,10胜41负,21胜29负,95:109
86,11,22胜29负,32胜21负,93:113
58,86,12胜43负,23胜31负,108:119
86,93,24胜31负,19胜39负,93:90
72,86,46胜12负,25胜32负,93:91
163,86,31胜29负,25胜33负,98:115
156,86,16胜43负,26胜33负,94:100
86,100,27胜33负,34胜27负,97:99
44,86,25胜36负,28胜34负,100:90
37,86,25胜37负,28胜35负,98:104
86,65,29胜35负,38胜26负,92:102
11,86,43胜25负,29胜36负,92:106
128,86,44胜21负,30胜36负,104:108
86,32,32胜37负,34胜36负,88:89
86,44,32胜38负,31胜39负,93:86
18,86,28胜44负,33胜39负,102:109
86,11,34胜40负,48胜27负,88:114
86,25,34胜42负,33胜43负,89:112
4,86,46胜32负,35胜43负,89:78
65,86,47胜32负,35胜44负,107:104
93,86,25胜55负,35胜45负,93:100
